Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_002863925.1	EquCab3.0	Equus caballus	2506949475	33146	21129	2847
GCF_013265735.2	USDA_OmykA_1.1	Oncorhynchus mykiss	2341671972	72772	41896	2712
GCF_002204515.2	AaegL5.0	Aedes aegypti	1278715314	19623	14626	382
GCF_905237065.1	Ssal_v3.1	Salmo salar	2756584103	65343	42985	4337
GCF_015476345.1	ZJU1.0	Anas platyrhynchos	1188516685	25093	16836	243
GCF_001858045.2	O_niloticus_UMD_NMBU	Oreochromis niloticus	1005664923	42646	29550	689
GCF_000004195.4	UCB_Xtro_10.0	Xenopus tropicalis	1451283599	28858	21826	571
GCF_902806645.1	cgigas_uk_roslin_v1	Magallana gigas	647887097	38296	31371	88
GCF_023101765.2	AGI-APGP_CSIRO_Sfru_2.0	Spodoptera frugiperda	383907753	16908	14679	139
GCF_943734735.2	idAnoGambNW_F1_1	Anopheles gambiae	264451381	15165	12519	362
GCF_018350175.1	F.catus_Fca126_mat1.0	Felis catus	2425730029	39307	20453	3620
GCF_016920845.1	GAculeatus_UGA_version5	Gasterosteus aculeatus aculeatus	471877818	28430	22598	303
GCF_000247795.1	Bos_indicus_1.0	Bos indicus	2673949103	26229	19786	3512
GCF_011100555.1	mCalJa1.2.pat.X	Callithrix jacchus	2874864526	42308	22355	8628
GCF_020631705.1	ASM2063170v1.1	Daphnia magna	161452108	28335	16891	2203
GCF_018340385.1	ASM1834038v1	Cyprinus carpio	1680118328	59559	43531	6174
GCF_031307605.1	icTriCast1.1	Tribolium castaneum	241845558	15518	12172	113
GCF_000237925.1	ASM23792v2	Schistosoma mansoni	364518427	13257	10711	15
GCF_019924925.1	HZGC01	Ctenopharyngodon idella	893198495	31777	25130	466
GCF_035046485.1	AalbF5	Aedes albopictus	1344147842	25320	20424	467
GCF_000224145.3	KH	Ciona intestinalis	115212710	16363	13726	66
GCF_003368295.1	ASM336829v1	Carassius auratus	1820618472	83674	53065	7365
GCF_932526225.1	jaNemVect1.1	Nematostella vectensis	269418438	38762	19231	766
GCF_024679095.1	ASM2467909v1	Eriocheir sinensis	1765827443	30289	19615	658
GCF_005508785.2	pea_aphid_22Mar2018_4r6ur_v2	Acyrthosiphon pisum	533632392	20307	17681	297
GCF_003957565.2	bTaeGut1.4.pri	Taeniopygia guttata	1056254409	21933	16520	201
GCF_023373825.1	ASM2337382v1	Bactrocera dorsalis	530310706	17486	14607	918
GCF_932276165.1	ilPluXylo3.1	Plutella xylostella	323302761	16283	13971	54
GCF_014356525.2	ASM1435652v1	Nilaparvata lugens	1085539448	20891	18139	206
GCF_029169275.1	AcerK_1.0	Apis cerana	223040589	13145	9933	97
GCF_016746395.2	Prin_Dsim_3.1	Drosophila simulans	131663590	15845	14256	157
GCF_001577835.2	Coturnix japonica 2.1	Coturnix japonica	927640260	20956	16026	154
GCF_000972845.2	L_crocea_2.0	Larimichthys crocea	657923191	27392	23367	623
GCF_900880675.1	fSpaAur1.1	Sparus aurata	833578411	32008	25735	618
GCF_022379125.1	ASM2237912v1	Scophthalmus maximus	538217135	26628	21619	223
GCF_902167405.1	gadMor3.0	Gadus morhua	669949713	33093	23485	667
GCF_022113875.1	Hydra_105_v3	Hydra vulgaris	819386744	28611	21385	297
GCF_015228065.2	NSTDA_Pmon_1	Penaeus monodon	2391040180	31414	24011	3153
GCF_011064425.1	Rrattus_CSIRO_v1	Rattus rattus	2382770976	32100	21597	6557
GCF_011125445.2	MU-UCD_Fhet_4.1	Fundulus heteroclitus	1203489213	34686	26804	631
GCF_020424385.1	ASM2042438v2	Procambarus clarkii	2735345304	30545	26417	567
GCF_013347855.1	fAngAng1.pri	Anguilla anguilla	979029243	31451	25903	377
GCF_027887165.1	mMonDom1.pri	Monodelphis domestica	3586166573	32665	21694	3202
GCF_008728515.1	Panubis1.0	Papio anubis	2869804647	39274	21087	6680
GCF_001660625.3	Coco_2.0	Ictalurus punctatus	842926452	32344	23962	1304
GCF_035594125.1	ASM3559412v1	Scylla paramamosain	1210760420	27877	19839	723
GCF_009193385.2	Nvit_psr_1.1	Nasonia vitripennis	297309692	15501	13602	242
GCF_022655615.1	HZAU_PFXX_2.0	Tachysurus fulvidraco	712016913	33922	23998	1785
GCF_013141755.1	UCI_ANSTEP_V1.0	Anopheles stephensi	243460342	15394	12692	207
GCF_017591435.1	ASM1759143v1	Portunus trituberculatus	1005046021	22904	17292	411
GCF_013339725.1	BIME_Rmic_1.3	Rhipicephalus microplus	2529915399	28973	18598	1114
GCF_000523025.1	Cse_v1.0	Cynoglossus semilaevis	470182763	25771	21395	255
GCF_000146605.3	Turkey_5.1	Meleagris gallopavo	1115457962	24368	17974	246
GCF_016802725.1	UNIL_Sinv_3.0	Solenopsis invicta	378101515	16996	14790	387
GCF_910591885.1	iyBomTerr1.2	Bombus terrestris	392962041	13398	10310	148
GCF_013753865.1	Amil_v2.1	Acropora millepora	475381253	42775	30136	5871
GCF_016881025.1	HiC_Itri_2	Ictidomys tridecemlineatus	2478949113	34527	20734	4263
GCF_036013475.1	bColLiv1.pat.W.v2	Columba livia	1325566026	22830	17095	284
GCF_016077325.2	ASM1607732v2	Equus asinus	2431907375	38517	21649	3022
GCF_901001165.1	fSalTru1.1	Salmo trutta	2371863509	61583	42405	3283
GCF_016801865.2	TS_CPP_V2	Culex pipiens pallens	566339288	19673	16297	847
GCF_023375975.1	AstMex3_surface	Astyanax mexicanus	1373169186	52771	26736	1378
GCF_914767665.1	icHarAxyr1.1	Harmonia axyridis	425524972	18548	13899	413
GCF_020184175.1	ASM2018417v2	Aphis gossypii	334855424	18811	14853	1312
GCF_002922805.2	ASM292280v2	Oryzias melastigma	778686656	28599	23519	121
GCF_009870125.1	UCI_Dpse_MV25	Drosophila pseudoobscura	163266851	16880	14343	127
GCF_901000725.2	fTakRub1.2	Takifugu rubripes	384110215	27412	22076	546
GCF_015732765.1	VPISU_Cqui_1.0_pri_paternal	Culex quinquefasciatus	573214445	18458	15094	622
GCF_001640805.2	TLL_Latcal_v3	Lates calcarifer	673797687	32906	25072	728
GCF_947242115.1	xgBioGlab47.1	Biomphalaria glabrata	850620091	26406	22006	219
GCF_011762595.1	mTurTru1.mat.Y	Tursiops truncatus	2378505825	28904	19240	3203
GCF_018296145.1	Otsh_v2.0	Oncorhynchus tshawytscha	2294842546	49936	39464	2747
GCF_002706865.2	ASM270686v3	Spodoptera litura	429567674	15962	14745	202
GCF_000004555.2	CB4	Caenorhabditis briggsae	108384165	22727	21922	
GCF_000633615.1	Guppy_female_1.0+MT	Poecilia reticulata	731605743	26512	22842	278
GCF_003704035.1	HU_Pman_2.1.3	Peromyscus maniculatus bairdii	2512423440	36461	22079	3762
GCF_028554725.1	idZeuCucr1.2	Zeugodacus cucurbitae	439243742	17725	13888	1165
GCF_017639315.1	ASM1763931v2	Drosophila ananassae	213817545	16982	14778	193
GCF_035594765.1	rAnoCar3.1.pri	Anolis carolinensis	1850740401	27148	20447	628
GCF_028641065.1	Leri_hhj_1	Leucoraja erinacea	2190844947	23250	18970	1164
GCF_013340165.1	LBDM_Dsuz_2.1.pri	Drosophila suzukii	268012156	17539	15567	145
GCF_002021735.2	Okis_V2	Oncorhynchus kisutch	2375894934	63465	41269	3056
GCF_002007445.2	ASM200744v3	Ailuropoda melanoleuca	2440260518	31335	20837	3591
GCF_004115265.2	mRhiFer1_v1.p	Rhinolophus ferrumequinum	2075768562	27139	19652	3855
GCF_036321535.1	mCamDro1.pat	Camelus dromedarius	2306603094	30879	19771	2622
GCF_905115235.1	iHerIll2.2.curated.20191125	Hermetia illucens	1004932590	15712	14004	143
GCF_010993605.1	kPetMar1.pri	Petromyzon marinus	1089034212	22167	17580	226
GCF_022985175.1	IGBB_LRoh.1.0	Labeo rohita	1126541939	31701	26277	1059
GCF_026875155.1	ASM2687515v2	Cherax quadricarinatus	5247605071	22681	18152	1461
GCF_020171115.1	ASM_NN_V1	Neogale vison	2681198719	30220	20422	4747
GCF_028408465.1	idAnaLude1.1	Anastrepha ludens	820766187	17305	14586	688
GCF_016746365.2	Prin_Dyak_Tai18E2_2.1	Drosophila yakuba	147883098	16150	14230	139
GCF_018812025.1	ASM1881202v1	Megalobrama amblycephala	1109871993	38087	29877	1233
GCF_003073045.1	ASM307304v1	Pomacea canaliculata	440143917	24345	21144	151
GCF_014839805.1	JHU_Msex_v1.0	Manduca sexta	470021481	19909	15967	919
GCF_018135715.1	MEX_DaPlex	Danaus plexippus	245173502	14790	12804	147
GCF_013100865.1	CAS_Tse_1.0	Trachemys scripta elegans	2126182493	22456	18662	579
GCF_018350195.1	P.tigris_Pti1_mat1.1	Panthera tigris	2408678698	33598	20232	3743
GCF_902635505.1	mSarHar1.11	Sarcophilus harrisii	3086657325	26869	19966	2550
GCF_027358585.1	fPanHyp1.pri	Pangasianodon hypophthalmus	764974446	29542	23205	316
GCF_963082965.1	fCarCar2.1	Carassius carassius	1684296438	70659	41837	3100
GCF_019176455.1	IFAPA_SoseM_1	Solea senegalensis	603518608	29174	23383	253
GCF_003590095.1	tn1	Trichoplusia ni	368211209	17445	15089	493
GCF_943734845.2	idAnoFuneDA-416_04	Anopheles funestus	250698078	14819	12092	447
GCF_020085105.1	ASM2008510v1	Siniperca chuatsi	718804017	27696	22572	426
GCF_943734745.1	idAnoDarlMG_H_01	Anopheles darlingi	181637336	12393	11222	52
GCF_905147795.1	ilPieRapa1.1	Pieris rapae	256355036	13630	12147	87
GCF_018143015.1	Lvar_3.0	Lytechinus variegatus	869582435	26814	22667	500
GCF_900634795.4	fBetSpl5.4	Betta splendens	426984265	28938	22791	458
GCF_947172395.1	ilBicAnyn1.1	Bicyclus anynana	457159770	15144	13577	91
GCF_000317375.1	MicOch1.0	Microtus ochrogaster	2287340943	26397	20077	3794
GCF_024166365.1	mEleMax1 primary haplotype	Elephas maximus indicus	3401247148	30964	21809	3734
GCF_030014295.1	mLoxAfr1.hap2	Loxodonta africana	3540876381	32081	22303	3910
GCF_030254825.1	Bangor_MerUng_6.1	Meriones unguiculatus	2702201048	34685	21259	5059
GCF_015237465.2	rCheMyd1.pri.v2	Chelonia mydas	2134358617	28491	19752	714
GCF_003369695.1	UOA_Brahman_1	Bos indicus x Bos taurus	2680953056	32783	20846	4745
GCF_036370855.1	bDroNov1.hap1	Dromaius novaehollandiae	1468706110	24513	17857	528
GCF_030445035.1	mDasNov1.hap2	Dasypus novemcinctus	3570966115	42269	22468	8913
GCF_022539315.1	serCan2020	Serinus canaria	1050336073	17915	15457	142
GCF_009819705.1	fHipHip1.pri	Hippoglossus hippoglossus	596775069	27732	22234	224
GCF_033807575.1	ilCydPomo1	Cydia pomonella	642246045	19562	16554	211
GCF_004664715.2	UCI_PerLeu_2.1	Peromyscus leucopus	2475164510	32259	22198	4481
GCF_034236695.1	Oner_Uvic_2.0	Oncorhynchus nerka	2645619652	55720	39518	4404
GCF_020615455.1	ASM2061545v1	Coregonus clupeaformis	2753270621	60366	42433	4945
GCF_029448725.1	ASM2944872v1	Salvelinus fontinalis	2496185110	59184	41382	2997
GCF_013339695.2	BIME_Rsan_1.4	Rhipicephalus sanguineus	2365502231	32708	22510	1253
GCF_005281545.1	ASM528154v1	Epinephelus lanceolatus	1087399367	27295	24178	461
GCF_036934945.1	UVic_Omas_1.1	Oncorhynchus masou masou	2664785840	55836	40543	5316
GCF_900496995.4	bAquChr1.4	Aquila chrysaetos chrysaetos	1233704830	21369	16702	201
GCF_030867095.1	rAllMis1	Alligator mississippiensis	2346779227	31016	20269	846
GCF_023375685.1	Billie_1.0	Ictalurus furcatus	825459183	26870	23168	517
GCF_963855985.1	ilOstNubi1.1	Ostrinia nubilalis	495500553	17611	13840	92
GCF_004115215.2	mOrnAna1.pri.v4	Ornithorhynchus anatinus	1859264908	30497	18152	863
GCF_011397635.1	E.fuscoguttatus.final_Chr_v1	Epinephelus fuscoguttatus	1046995804	27856	23879	655
GCF_030014155.1	HZAU_Pvac_v1	Tachysurus vachellii	692104899	26896	22890	560
GCF_003369915.1	D.miranda_PacBio2.1	Drosophila miranda	287096000	23864	19112	1788
GCF_010015445.1	GENO_Pfluv_1.0	Perca fluviatilis	951345774	32186	25021	1442
GCF_027580225.1	HAU_Mang_1.0	Misgurnus anguillicaudatus	1104569478	43460	27957	866
GCF_902652985.1	xPecMax1.1	Pecten maximus	918306378	30903	26152	302
GCF_001649575.2	ASM164957v2	Kryptolebias marmoratus	680638340	25206	22200	236
GCF_000003815.2	Bfl_VNyyK	Branchiostoma floridae	513445848	29857	26689	126
GCF_007210705.1	Tcal_SD_v2.1	Tigriopus californicus	191142546	16893	15351	75
GCF_023065955.2	UrsArc2.0	Ursus arctos	2423401459	30450	20319	3549
GCF_000241765.5	Chrysemys_picta_BioNano-3.0.4	Chrysemys picta bellii	2480260873	26964	21482	734
GCF_016920715.1	AaraD3	Anopheles arabiensis	256807969	15763	12601	474
GCF_004382195.2	ASM438219v2	Drosophila sechellia	153084571	16475	14116	432
GCF_943734685.1	AcolN3	Anopheles coluzzii	262602229	14579	12410	218
GCF_022581195.2	ilHelZeax1.1	Helicoverpa zea	375165593	16988	14933	242
GCF_900964775.1	fSclFor1.1	Scleropages formosus	784546363	27389	23537	524
GCF_017639515.1	sCarCar2.pri	Carcharodon carcharias	4286294447	25164	19440	1424
GCF_007565055.1	ASM756505v1	Rhinopithecus roxellana	3038460517	34842	21094	7365
GCF_004354835.1	PFLA_1.0	Perca flavescens	877439799	28914	23749	770
GCF_902713615.1	sScyCan1.1	Scyliorhinus canicula	4220389930	29227	20574	1262
GCF_019279795.1	PAN1.0	Protopterus annectens	40054324612	30570	22039	1966
GCF_949316345.1	fPunPun2.1	Pungitius pungitius	480434100	55945	22019	407
GCF_001522545.3	Parus_major1.1	Parus major	1020293992	19061	15069	46
GCF_001194135.2	ASM119413v2	Octopus bimaculoides	2342518435	20144	15684	504
GCF_910594005.1	mCerEla1.1	Cervus elaphus	2886603524	37348	22941	4296
GCF_023897955.1	iqSchGreg1.2	Schistocerca gregaria	8742418402	99467	19799	3862
GCF_035770615.1	bMelMel2.pri	Melospiza melodia melodia	1541245192	21141	17176	590
GCF_021130785.1	UT_GWSS_2.1	Homalodisca vitripennis	2304988238	22591	19904	611
GCF_028885655.2	NHGRI_mPonAbe1-v2.0_pri	Pongo abelii	3259853530	41736	22189	7318
GCF_016161935.1	ASM1616193v1	Mauremys reevesii	2367590653	41089	22618	1217
GCF_004382145.1	ASM438214v1	Drosophila mauritiana	152298302	16006	14112	359
GCF_015852505.1	mTacAcu1.pri	Tachyglossus aculeatus	2213004214	31147	18929	2035
GCF_921293095.1	ioIscEleg1.1	Ischnura elegans	1722738530	21087	15994	166
GCF_027563975.2	ilPloInte3.2	Plodia interpunctella	291316876	14950	13255	86
GCF_905220365.1	ilVanCard2.1	Vanessa cardui	424798336	15000	13223	212
GCF_945859705.1	idEpiBalt1.1	Episyrphus balteatus	535345329	16500	13663	202
GCF_031761385.1	Nec_am_Ar_1.0	Necator americanus	234457255	26579	26579	
GCF_010183535.1	CRPX506	Caenorhabditis remanei	130466896	26296	26177	119
GCF_013373865.1	ASM1337386v2	Monomorium pharaonis	325506644	17083	14019	377
GCF_008729295.1	YSFRI_Pleo_2.0	Plectropomus leopardus	895688574	29473	25802	736
GCF_022539595.1	ASM2253959v1	Amphiprion ocellaris	863468154	28286	23035	295
GCF_016617805.1	CSIRO_BtryS06_freeze2	Bactrocera tryoni	570642875	16748	14221	1089
GCF_027475565.1	VMU_Ajub_asm_v1.0	Acinonyx jubatus	2377417351	33469	19999	3672
GCF_028583425.1	MPM_Emac_v1.0	Eublepharis macularius	2237379946	24025	20469	827
GCF_018350215.1	P.leo_Ple1_pat1.1	Panthera leo	2297552363	32109	19491	3539
GCF_018345385.1	ASM1834538v1	Vulpes lagopus	2345533697	30615	20695	4740
GCF_914725855.1	fThuAlb1.1	Thunnus albacares	792101331	34728	24623	334
GCF_030020395.1	mManPen7.hap1	Manis pentadactyla	2840164579	31161	21077	3209
GCF_950023065.1	ihPlaCitr1.1	Planococcus citri	403646906	19042	16596	88
GCF_011004845.1	fEsoLuc1.pri	Esox lucius	918731919	30105	24647	359
GCF_036417665.1	bPasDom1.hap1	Passer domesticus	1310114252	31465	18191	291
GCF_020382885.2	fScaArg1.pri	Scatophagus argus	570785501	26110	22632	168
GCF_018139145.2	ASM1813914v2	Gymnogyps californianus	1240248578	17498	15144	421
GCF_006542625.1	Asia_NLE_v1	Nomascus leucogenys	2843966406	33914	20527	7038
GCF_024362695.1	ilPecGoss1.1	Pectinophora gossypiella	476494545	16460	14107	101
GCF_022682495.1	HLdesRot8A	Desmodus rotundus	2113473284	29684	19615	5390
GCF_905171775.1	aRanTem1.1	Rana temporaria	4111422596	38300	23707	2055
GCF_021347895.1	KAUST_Apoly_ChrSc	Acanthochromis polyacanthus	956771783	30251	23921	328
GCF_016086655.3	UVic_Lsal_1.2	Lepeophtheirus salmonis	647176227	18944	14014	371
GCF_021234035.1	SC_F0-13Bv2	Daphnia pulicaria	185057732	41982	16865	10280
GCF_947568905.1	xbOstEdul1.1	Ostrea edulis	894786893	36649	27763	1367
GCF_023373465.1	Oket_V2	Oncorhynchus keta	2556461070	66713	40661	3367
GCF_016432855.1	SaNama_1.0	Salvelinus namaycush	2345496725	49668	39192	3309
GCF_014858855.1	ASM1485885v1	Bufo gargarizans	4545465442	27589	22033	1122
GCF_900700415.2	Ch_v2.0.2	Clupea harengus	786308905	32797	26665	716
GCF_019202785.1	ASM1920278v2	Penaeus chinensis	1466063637	23929	20076	345
GCF_023634155.1	bFalPer1.pri	Falco peregrinus	1311580791	19918	16083	289
GCF_015227805.2	bHirRus1.pri.v3	Hirundo rustica	1105955550	18409	15517	226
GCF_016509475.1	Fcat_Pben_1.1_paternal_pri	Prionailurus bengalensis	2435702060	30727	20003	3731
GCF_029289425.2	NHGRI_mPanPan1-v2.0_pri	Pan paniscus	3244888708	38533	22890	6868
GCF_021730395.1	MADL_Memer_1	Mercenaria mercenaria	1858199728	45375	38330	458
GCF_037176945.1	fLatCha1.pri	Latimeria chalumnae	2947609019	28938	19735	1917
GCF_943734665.1	idAnoAquaMG_Q_19	Anopheles aquasalis	176573000	12989	11511	112
GCF_029227915.1	HSymV2.1	Hydractinia symbiolongicarpus	480922349	50843	20492	568
GCF_902362185.1	fChaCha1.1	Chanos chanos	656912816	26078	23173	606
GCF_023634085.1	bFalChe1.pri	Falco cherrug	1309366964	19950	16251	202
GCF_023653815.1	GSC_CCare_1.0	Caretta caretta	2133995980	24923	20272	705
GCF_027477595.1	bHaeMex1.pri	Haemorhous mexicanus	1148216196	19965	16679	274
GCF_012275295.1	bMelUnd1.mat.Z	Melopsittacus undulatus	1171617451	18613	16458	254
GCF_904848185.1	fAcaLat1.1	Acanthopagrus latus	685127588	30246	23786	189
GCF_003957555.1	bCalAnn1_v1.p	Calypte anna	1059687259	16230	14711	163
GCF_030435755.1	mOchPri1.hap1	Ochotona princeps	2555444530	28141	20332	3488
GCF_008121235.1	UCBerk_Dsub_1.0	Drosophila subobscura	126232139	14381	13440	75
GCF_019457755.1	ASM1945775v1	Venturia canescens	290760430	14009	11831	150
GCF_025612915.1	ASM2561291v2	Crassostrea angulata	624273838	38153	29810	4077
GCF_018902025.1	UCI_dwil_1.1	Drosophila willistoni	246985538	16774	14774	318
GCF_902713425.1	fAciRut3.2 maternal haplotype	Acipenser ruthenus	1899794300	80041	38165	6639
GCF_013358815.1	fEleEle1.pri	Electrophorus electricus	589358956	25923	22304	601
GCF_900324465.2	fAnaTes1.2	Anabas testudineus	555641398	26944	23846	411
GCF_008315115.2	SLUC_FBN_1.2	Sander lucioperca	901221791	33533	24727	570
GCF_018555375.3	ASM1855537v3	Anguilla rostrata	976090453	32130	25366	387
GCF_009769545.1	fCycLum1.pri	Cyclopterus lumpus	572885595	26630	21480	146
GCF_016835505.1	ASM1683550v1	Polypterus senegalus	3673863536	29359	21953	1066
GCF_003672135.1	Obir_v5.4	Ooceraea biroi	223876465	14128	11927	373
GCF_037126465.1	ASM3712646v1	Ornithodoros turicata	1071349989	36149	22416	631
GCF_958295425.1	fSolSol10.1	Solea solea	643757955	37145	22383	384
GCF_018492685.1	fAloSap1.pri	Alosa sapidissima	903564947	47628	25730	702
GCF_000238955.4	M_zebra_UMD2a	Maylandia zebra	957468680	32471	25898	1239
GCF_020536995.1	UMN_Dpol_1.0	Dreissena polymorpha	1797942340	51549	36414	830
GCF_024763615.1	Ppap_2.1	Phlebotomus papatasi	351607531	12663	11610	58
GCF_021917145.1	fHypTra1	Hypomesus transpacificus	437273953	27592	21767	210
GCF_002837175.3	ASM283717v5	Physeter catodon	2496209109	29662	20411	3343
GCF_004010195.1	ASM401019v1	Chiloscyllium plagiosum	3556460701	26358	19916	663
GCF_023159225.1	ASM2315922v1	Perognathus longimembris pacificus	2212099196	30069	20883	3667
GCF_027943255.1	idAnaObli1_1.0	Anastrepha obliqua	836742189	18206	14353	1820
GCF_922984935.1	mMelMel3.1 paternal haplotype	Meles meles	2738678004	31234	21063	5063
GCF_905475395.1	inChrCarn1.1	Chrysoperla carnea	560232532	15864	12985	128
GCF_937001465.1	mOrcOrc1.1	Orcinus orca	2647335075	31447	19396	3526
GCF_019703515.2	UBuf_Myxa_2	Myxocyprinus asiaticus	2340848162	47203	39345	3118
GCF_024256425.1	CGAR_prim_01v2	Clarias gariepinus	969604269	40491	24297	618
GCF_009762305.2	mZalCal1.pri.v2	Zalophus californianus	2409668595	32543	21397	5342
GCF_902655055.1	mLutLut1.2	Lutra lutra	2438442342	32271	20887	4414
GCF_037042905.1	Lp3.0	Lytechinus pictus	811721768	25496	20054	302
GCF_910596095.1	fThuMac1.1	Thunnus maccoyii	782407452	33655	24659	337
GCF_013758885.1	VT_AalbS3_pri_1.0	Anopheles albimanus	172602732	12945	11565	180
GCF_020745825.1	Agelaius phoeniceus 1.1	Agelaius phoeniceus	1188530404	18121	16104	340
GCF_028858725.1	bColStr4.1.hap1	Colius striatus	1212464869	17551	15621	316
GCF_905147105.1	ilPieBrab1.1	Pieris brassicae	292325833	14350	11885	136
GCF_017976375.1	bCucCan1.pri	Cuculus canorus	1180136575	19729	16774	177
GCF_000699445.3	UoM_Shae.V3	Schistosoma haematobium	400271889	9428	9428	
GCF_905163445.1	ilParAegt1.1	Pararge aegeria	516571003	14745	13515	233
GCF_028389875.1	bPtePen1.pri	Rhea pennata	1269000025	19550	16410	249
GCF_014839835.1	bDryPub1.pri	Dryobates pubescens	1187939694	16340	15338	93
GCF_929443795.1	bAccGen1.1	Accipiter gentilis	1398011397	19564	16976	165
GCF_015220075.1	bFalRus1.pri	Falco rusticolus	1195829278	19484	15894	158
GCF_020882245.1	ASM2088224v1	Rhopalosiphum padi	338184925	15592	13285	491
GCF_902686445.1	mSciCar1.2	Sciurus carolinensis	2815397268	37331	21959	8526
GCF_011762505.1	mArvNil1.pat.X	Arvicanthis niloticus	2496761438	31912	22234	5575
GCF_002775205.1	X_maculatus-5.0-male	Xiphophorus maculatus	704304519	27255	23238	250
GCF_036324505.1	JC_Emac_rtc_rv5	Eleginops maclovinus	606289673	26310	22649	276
GCF_917208135.1	iyAthRosa1.1	Athalia rosae	171955050	13515	11393	87
GCF_026212275.2	iyMicDemo2.1a	Microplitis demolitor	225878136	13141	11885	67
GCF_009819885.2	bCatUst1.pri.v2	Catharus ustulatus	1131616530	19631	16929	215
GCF_003711565.1	ASM371156v2	Takifugu flavidus	366286831	27505	21500	506
GCF_013358895.1	ZZ_aureus	Oreochromis aureus	1005558595	36085	27686	979
GCF_029852145.1	iyMicMedi2.1	Microplitis mediator	269288274	15924	14066	104
GCF_027595985.1	mSorAra2.pri	Sorex araneus	2405993548	28480	20687	3555
GCF_014905175.1	ASM1490517v1	Aphidius gifuensis	156944493	13956	12683	244
GCF_029784165.1	ASM2978416v1	Wyeomyia smithii	769230131	17568	15029	440
GCF_017562075.2	AmerM5.1	Anopheles merus	294364394	16199	13794	411
