Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_000258425.1	ASM25842v1	Fervidicoccus fontis Kam940	1319206	1409	1356	4
GCF_000092185.1	ASM9218v1	Thermosphaera aggregans DSM 11486	1316595	1458	1400	8
GCF_000186365.1	ASM18636v1	Desulfurococcus mucosus DSM 2162	1314639	1418	1364	3
GCF_013402815.2	ASM1340281v2	Natrinema halophilum	4842193	4702	4492	153
GCF_003430825.1	ASM343082v1	Natrarchaeobaculum sulfurireducens	3789323	3734	3619	53
GCF_003201835.2	ASM320183v2	Acidianus brierleyi	2947244	3201	3031	119
GCF_036323395.1	ASM3632339v1	Pyrodictium abyssi	2224219	2441	2384	6
GCF_000970085.1	ASM97008v1	Methanosarcina siciliae T4/M	5017558	4302	4104	131
GCF_000328685.1	ASM32868v1	Natronococcus occultus SP4	4314118	4365	4215	81
GCF_000217715.1	ASM21771v1	Halopiger xanaduensis SH-6	4355268	4327	4215	50
GCF_000328525.1	ASM32852v1	Halovivax ruber XH-70	3223876	3157	3084	19
GCF_000063445.1	ASM6344v1	Methanocella arvoryzae MRE50	3179916	3191	3122	7
GCF_000011085.1	ASM1108v1	Haloarcula marismortui ATCC 43049	4274642	4403	4255	86
GCF_000023945.1	ASM2394v1	Halorhabdus utahensis DSM 12940	3116795	3055	2984	20
GCF_000204415.1	ASM20441v1	Methanothrix soehngenii GP6	3026645	3055	2943	55
GCF_000011005.1	ASM1100v1	Methanocella paludicola SANAE	2957635	3105	3035	11
GCF_000021965.1	ASM2196v1	Methanosphaerula palustris E1-9c	2922917	2872	2761	41
GCF_000591055.1	ASM59105v1	Natronomonas moolapensis 8.8.11	2912573	2945	2822	73
GCF_000147875.1	ASM14787v1	Methanolacinia petrolearia DSM 11571	2843290	2857	2792	8
GCF_000327485.1	ASM32748v1	Methanoregula formicica SMSP	2820858	2903	2844	6
GCF_000517625.1	ASM51762v1	Halostagnicola larsenii XH-48	4131176	4098	3954	89
GCF_000011205.1	ASM1120v1	Sulfurisphaera tokodaii str. 7	2694756	3015	2857	107
GCF_000026045.1	ASM2604v1	Natronomonas pharaonis DSM 2160	2749696	2885	2803	31
GCF_000017625.1	ASM1762v1	Methanoregula boonei 6A8	2542943	2550	2491	5
GCF_000015825.1	ASM1582v1	Methanoculleus marisnigri JR1	2478101	2516	2456	6
GCF_000328665.1	ASM32866v1	Methanomethylovorans hollandica DSM 15978	2714013	2693	2590	43
GCF_000251105.1	ASM25110v1	Methanocella conradii HZ254	2378438	2569	2502	9
GCF_000190315.1	ASM19031v1	Vulcanisaeta moutnovskia 768-28	2298983	2529	2469	11
GCF_000196655.1	ASM19665v1	Methanohalobium evestigatum Z-7303	2406232	2456	2350	48
GCF_000246985.2	ASM24698v3	Thermococcus litoralis DSM 5473	2215172	2512	2396	64
GCF_000217995.1	ASM21799v1	Methanosalsum zhilinae DSM 4017	2138444	2078	1995	22
GCF_000018305.1	ASM1830v1	Caldivirga maquilingensis IC-167	2077567	2088	2038	5
GCF_000385565.1	ASM38556v1	Archaeoglobus sulfaticallidus PM70-1	2076931	2315	2244	15
GCF_000025865.1	ASM2586v1	Methanohalophilus mahii DSM 5219	2012424	2079	1995	20
GCF_000015805.1	ASM1580v1	Pyrobaculum calidifontis JCM 11548	2009313	2323	2261	13
GCF_000152265.2	ASM15226v2	Ferroplasma acidarmanus Fer1	1935211	1962	1895	17
GCF_000194625.1	ASM19462v1	Archaeoglobus veneficus SNP6	1901943	2181	2125	5
GCF_000014945.1	ASM1494v1	Methanothrix thermoacetophila PT	1879471	1824	1765	3
GCF_000725425.1	ASM72542v1	Palaeococcus pacificus DY20341	1859370	2032	1969	8
GCF_000214415.1	ASM21441v1	Methanotorris igneus Kol 5	1854197	1858	1803	12
GCF_000022545.1	ASM2254v1	Thermococcus sibiricus MM 739	1845800	2052	1970	30
GCF_000204925.1	ASM20492v1	Metallosphaera cuprina Ar-4	1840348	1973	1908	14
GCF_000015205.1	ASM1520v1	Pyrobaculum islandicum DSM 4184	1826402	2194	2080	65
GCF_000015765.1	ASM1576v1	Methanocorpusculum labreanum Z	1804962	1871	1807	
GCF_000015225.1	ASM1522v1	Thermofilum pendens Hrk 5	1813393	1973	1917	8
GCF_000019805.1	ASM1980v1	Pyrobaculum neutrophilum V24Sta	1769823	2070	2011	10
GCF_000024625.1	ASM2462v1	Methanocaldococcus vulcanius M7	1761737	1784	1727	12
GCF_000017165.1	ASM1716v1	Methanococcus vannielii SB	1720048	1780	1714	13
GCF_000215995.1	ASM21599v1	Pyrococcus yayanosii CH1	1716818	1953	1857	35
GCF_000015145.1	ASM1514v1	Hyperthermus butylicus DSM 5456	1667163	1826	1752	23
GCF_000179575.2	ASM17957v2	Methanothermococcus okinawensis IH1	1677455	1703	1634	22
GCF_000011185.1	ASM1118v1	Thermoplasma volcanium GSS1	1584804	1653	1581	21
GCF_000092465.1	ASM9246v1	Staphylothermus hellenicus DSM 12710	1580347	1691	1633	8
GCF_000015945.1	ASM1594v1	Staphylothermus marinus F1	1570485	1690	1637	3
GCF_000017185.1	ASM1718v1	Methanococcus aeolicus Nankai-3	1569500	1572	1514	9
GCF_000025285.1	ASM2528v1	Archaeoglobus profundus DSM 5631	1563423	1893	1833	8
GCF_000317795.1	ASM31779v1	Caldisphaera lagunensis DSM 15908	1546846	1570	1515	4
GCF_000144915.1	ASM14491v1	Acidilobus saccharovorans 345-15	1496453	1548	1495	2
GCF_000023985.1	ASM2398v1	Methanocaldococcus fervens AG86	1507251	1661	1596	20
GCF_001481685.1	ASM148168v1	Ignicoccus islandicus DSM 13165	1394664	1548	1494	3
GCF_000092305.1	ASM9230v1	Methanocaldococcus infernus ME	1328194	1500	1439	15
GCF_013415905.1	ASM1341590v1	Halosimplex pelagicum	5199031	5235	5093	70
GCF_022869805.1	ASM2286980v1	Halosolutus halophilus	5058678	5046	4852	136
GCF_028747785.1	ASM2874778v1	Halosimplex aquaticum	5163082	5091	4911	101
GCF_029338515.1	ASM2933851v1	Haloglomus litoreum	4695480	4673	4596	27
GCF_000969905.1	ASM96990v1	Methanosarcina vacuolata Z-761	4563885	3792	3602	119
GCF_013415885.1	ASM1341588v1	Halosimplex rubrum	4480147	4513	4378	66
GCF_002906575.1	ASM290657v1	Salinigranum rubrum	4973118	5069	4734	278
GCF_024298825.1	ASM2429882v1	Haloglomus salinum	4190378	4127	4052	25
GCF_020405205.1	ASM2040520v1	Natrinema salinisoli	4704203	4680	4550	67
GCF_024298885.1	ASM2429888v1	Haloglomus halophilum	4445689	4334	4236	47
GCF_016065055.1	ASM1606505v1	Halosimplex litoreum	4158049	4118	4043	20
GCF_025231485.1	ASM2523148v1	Salinirubellus salinus	4376714	4507	4421	33
GCF_029338335.1	ASM2933833v1	Halomontanus rarus	5998452	5559	5371	132
GCF_024362485.1	ASM2436248v1	Natronobeatus ordinarius	4208668	4208	4068	82
GCF_013402875.1	ASM1340287v1	Halobaculum salinum	4258755	4318	4204	61
GCF_017357105.1	ASM1735710v2	Natronosalvus caseinilyticus	4235112	4112	3992	65
GCF_024228675.1	ASM2422867v1	Salinigranum marinum	4906407	4862	4672	128
GCF_024362405.1	ASM2436240v1	Halorarius litoreus	4167635	4388	4303	32
GCF_024138165.1	ASM2413816v1	Halorussus vallis	5051069	5072	4973	44
GCF_024227435.1	ASM2422743v1	Natrinema caseinilyticum	4771358	4636	4447	132
GCF_002156705.1	ASM215670v1	Natrarchaeobaculum aegyptiacum	3930546	3844	3711	75
GCF_025913575.1	ASM2591357v1	Halocatena marina	3957008	3786	3709	26
GCF_023028105.1	ASM2302810v1	Halosolutus gelatinilyticus	4757880	4584	4439	83
GCF_024498195.1	ASM2449819v1	Halovivax cerinus	3902757	3697	3602	45
GCF_023093535.1	ASM2309353v1	Halovivax limisalsi	3894819	3631	3542	39
GCF_024298905.1	ASM2429890v1	Natronomonas marina	3993555	4164	4056	54
GCF_023973145.1	ASM2397314v1	Natronosalvus vescus	3836670	3639	3529	55
GCF_017352155.2	ASM1735215v2	Haloterrigena alkaliphila	4270687	4204	4065	80
GCF_020700235.1	ASM2070023v1	Haladaptatus pallidirubidus	6270521	6555	6279	209
GCF_024204665.1	ASM2420466v1	Natronosalvus rutilus	4312161	4249	4106	86
GCF_013456555.2	ASM1345655v2	Natrinema zhouii	5336312	5348	5017	268
GCF_024296685.1	ASM2429668v1	Natrinema marinum	3766003	3769	3671	41
GCF_013391105.1	ASM1339110v1	Natronomonas salina	3746575	3946	3864	32
GCF_024298865.1	ASM2429886v1	Halorarius halobius	4399335	4564	4469	43
GCF_024300625.1	ASM2430062v1	Halovivax gelatinilyticus	3700630	3544	3458	37
GCF_013401515.1	ASM1340151v1	Halobaculum halophilum	4277959	4351	4229	49
GCF_023028345.1	ASM2302834v1	Halorientalis marina	4754137	4833	4686	89
GCF_023238445.1	ASM2323844v1	Halorussus gelatinilyticus	3668365	3737	3644	35
GCF_024266705.1	ASM2426670v1	Natrinema gelatinilyticum	5443578	5342	4952	334
GCF_023008545.1	ASM2300854v1	Natribaculum luteum	4611642	4649	4393	188
GCF_008831545.1	ASM883154v1	Halorussus halophilus	4450731	4476	4384	35
GCF_024296665.1	ASM2429666v1	Salinilacihabitans rarus	3622565	3804	3712	40
GCF_024218795.1	ASM2421879v1	Halorussus aquaticus	4739434	4839	4680	94
GCF_023238205.1	ASM2323820v1	Halorussus limi	4624940	4673	4542	55
GCF_030127105.1	ASM3012710v1	Haloarcula pelagica	4458205	4670	4456	157
GCF_024298845.1	ASM2429884v1	Natronosalvus amylolyticus	4217547	3919	3815	50
GCF_024138145.1	ASM2413814v1	Natronosalvus halobius	3854603	3754	3640	59
GCF_029338395.1	ASM2933839v1	Halorussus caseinilyticus	4392332	4347	4208	82
GCF_024498175.1	ASM2449817v1	Haloplanus salinarum	3450905	3634	3510	68
GCF_029338375.1	ASM2933837v1	Halorussus lipolyticus	4135236	4056	3977	22
GCF_020405185.1	ASM2040518v1	Halomicrobium salinisoli	3846467	3818	3732	21
GCF_024218775.1	ASM2421877v1	Halomicroarcula marina	3739652	3901	3803	40
GCF_020217425.1	ASM2021742v1	Halomicrobium urmianum	4254704	4293	4144	84
GCF_029338255.1	ASM2933825v1	Haloarcula halobia	3484032	3658	3519	83
GCF_009392895.1	ASM939289v1	Natronorubrum aibiense	4348483	4297	4105	121
GCF_026410925.1	ASM2641092v1	Halovenus salina	3769933	3781	3608	118
GCF_002952775.1	ASM295277v1	Halalkaliarchaeum desulfuricum	3313120	3357	3235	67
GCF_029338195.1	ASM2933819v1	Haloarcula litorea	3789806	4029	3910	60
GCF_009762275.1	ASM976227v1	Haloplanus rallus	3560302	3706	3580	70
GCF_001304615.2	ASM130461v2	Methanosarcina flavescens	3283688	2892	2784	45
GCF_020150815.1	ASM2015081v1	Haloprofundus salilacus	3727714	3778	3667	52
GCF_020097835.1	ASM2009783v1	Haloprofundus halobius	3947132	4072	3925	88
GCF_013391085.1	ASM1339108v1	Natronomonas halophila	3211682	3425	3370	5
GCF_029338275.1	ASM2933827v1	Haloarcula ordinaria	3525489	3699	3561	78
GCF_024662215.1	ASM2466221v1	Methanoplanus endosymbiosus	3163021	2934	2848	9
GCF_021249345.1	ASM2124934v1	Halobacterium wangiae	3112195	3318	3256	10
GCF_020886315.1	ASM2088631v1	Saccharolobus caldissimus	3075795	3353	3146	156
GCF_017094485.1	ASM1709448v1	Natranaeroarchaeum sulfidigenes	3041127	3173	3095	21
GCF_029278565.1	ASM2927856v1	Haloarcula halophila	4041616	4193	4034	84
GCF_024138125.1	ASM2413812v1	Halorussus salilacus	3596520	3642	3549	37
GCF_018228765.1	ASM1822876v1	Halorubrum ruber	3021820	3000	2813	131
GCF_004087835.1	ASM408783v1	Halorussus pelagicus	3490924	3559	3453	47
GCF_020097815.1	ASM2009781v1	Haloprofundus salinisoli	3421753	3530	3430	35
GCF_019880245.1	ASM1988024v1	Halobaculum roseum	3719897	3784	3672	48
GCF_024362525.1	ASM2436252v1	Natrononativus amylolyticus	3986100	4018	3894	68
GCF_019823105.1	ASM1982310v1	Halobaculum magnesiiphilum	3732450	3793	3664	68
GCF_019880225.1	ASM1988022v1	Halobaculum rubrum	3058052	3111	3034	23
GCF_023702125.1	ASM2370212v1	Halorubrum hochsteinianum	3063422	3096	3007	31
GCF_019704315.1	ASM1970431v1	Stygiolobus caldivivus	2958410	2952	2839	62
GCF_013267195.1	ASM1326719v1	Halorubrum salinarum	3340250	3378	3272	50
GCF_024227995.1	ASM2422799v1	Halomicrococcus gelatinilyticus	3721977	3841	3764	21
GCF_020614375.1	ASM2061437v1	Haladaptatus salinisoli	5035265	5188	5050	79
GCF_009729055.1	ASM972905v1	Sulfurisphaera ohwakuensis	2803915	3079	2915	113
GCF_030296715.1	ASM3029671v1	Methanobacterium ferruginis	2803797	2864	2644	167
GCF_023028225.1	ASM2302822v1	Halorientalis litorea	3214077	3380	3288	41
GCF_031312595.1	ASM3131259v1	Methanolobus sediminis	2798037	2763	2679	15
GCF_022870485.1	ASM2287048v1	Halococcus dombrowskii	3965466	4060	3877	117
GCF_017357525.1	ASM1735752v1	Methanofollis aquaemaris	2746416	2595	2533	6
GCF_003058365.1	ASM305836v1	Halococcoides cellulosivorans	2723120	2692	2604	19
GCF_013388255.1	ASM1338825v1	Methanolobus zinderi	2704953	2706	2635	12
GCF_024508235.1	ASM2450823v1	Halococcus qingdaonensis	2703393	2821	2734	35
GCF_021233415.1	ASM2123341v1	Halobacterium litoreum	2709004	2981	2922	7
GCF_026684035.1	ASM2668403v1	Methanogenium organophilum	2648164	2595	2519	14
GCF_026248685.1	ASM2624868v1	Haladaptatus caseinilyticus	4818353	4900	4768	72
GCF_029338355.1	ASM2933835v1	Halosegnis marinus	2811024	3085	2997	36
GCF_031312535.1	ASM3131253v1	Methanolobus mangrovi	2623311	2574	2488	14
GCF_024498335.1	ASM2449833v1	Halobellus ramosii	2853958	2911	2809	45
GCF_003201675.2	ASM320167v2	Metallosphaera hakonensis JCM 8857 = DSM 7519	2544115	2639	2449	139
GCF_023115355.1	ASM2311535v1	Halocatena salina	4012255	3895	3747	97
GCF_002813695.1	ASM281369v1	Methanobacterium subterraneum	2515817	2479	2411	16
GCF_001488575.1	Halobacterium hubeiense JI20-1	Halobacterium hubeiense	3130345	3360	3269	39
GCF_021249405.1	ASM2124940v1	Halobacterium zhouii	2828879	2928	2864	11
GCF_021184045.1	ASM2118404v1	Methanococcoides orientis	2494162	2442	2339	22
GCF_000234805.1	ASM23480v1	Pyrobaculum ferrireducens	2467972	2845	2764	32
GCF_025914035.1	ASM2591403v1	Methanoculleus submarinus	2462514	2503	2446	4
GCF_029633915.1	ASM2963391v1	Methanomicrobium antiquum	2438126	2378	2303	11
GCF_003201765.2	ASM320176v2	Acidianus sulfidivorans JP7	2265309	2352	2288	13
GCF_009729015.1	ASM972901v1	Acidianus ambivalens	2252027	2651	2525	74
GCF_006274605.1	ASM627460v1	Thermococcus indicus	2234010	2456	2365	39
GCF_020614395.1	ASM2061439v1	Salarchaeum japonicum	2339281	2616	2560	4
GCF_005222525.1	ASM522252v1	Metallosphaera prunae	2202576	2414	2341	22
GCF_032594095.1	ASM3259409v1	Methanimicrococcus hongohii	2193213	2035	1953	23
GCF_018141185.1	ASM1814118v1	Methanobacterium alkalithermotolerans	2187077	2195	2140	6
GCF_013343295.1	ASM1334329v1	Metallosphaera tengchongensis	2176897	2311	2229	30
GCF_013407185.1	ASM1340718v1	Nitrosopumilus ureiphilus	2171418	2634	2571	11
GCF_008152015.1	ASM815201v1	Thermococcus aciditolerans	2165038	2411	2334	25
GCF_900198835.1	chr_EXT12c	Thermococcus henrietii	2155760	2391	2326	13
GCF_000769655.1	ASM76965v1	Thermococcus eurythermalis	2126164	2334	2250	32
GCF_024707485.1	ASM2470748v1	Thermococcus thermotolerans	2070864	2338	2280	6
GCF_002214505.1	ASM221450v1	Thermococcus siculi	2029167	2191	2132	8
GCF_904067545.1	T_caminus_IRI35c	Thermococcus camini	2022529	2229	2171	6
GCF_033097485.1	ASM3309748v1	Pyrofollis japonicus	2005174	2095	2040	4
GCF_002214585.1	ASM221458v1	Thermococcus profundus	2043143	2176	2122	2
GCF_009729035.1	ASM972903v1	Stygiolobus azoricus	1987069	2202	2119	32
GCF_033472595.1	ASM3347259v1	Methanoculleus receptaculi	1980381	2075	1992	31
GCF_001577775.1	ASM157777v1	Pyrococcus kukulkanii	1977126	2265	2164	35
GCF_032594115.1	ASM3259411v1	Methanolapillus millepedarum	1969708	1787	1707	21
GCF_000265525.1	ASM26552v1	Thermococcus cleftensis	1950313	2123	2064	7
GCF_023746595.1	ASM2374659v1	Thermococcus argininiproducens	1946248	2132	2068	12
GCF_001647085.1	ASM164708v1	Thermococcus piezophilus	1928800	2279	2108	119
GCF_002214465.1	ASM221446v1	Thermococcus barossii	1922421	2090	2031	7
GCF_000816105.1	ASM81610v1	Thermococcus guaymasensis DSM 11113	1920914	2152	2082	18
GCF_032594355.1	ASM3259435v1	Methanolapillus ohkumae	1895112	1664	1579	27
GCF_002214565.1	ASM221456v1	Thermococcus radiotolerans	1868990	2066	2005	10
GCF_002214365.1	ASM221436v1	Thermococcus celer Vu 13 = JCM 8558	1866819	2051	1967	32
GCF_001592435.1	ASM159243v1	Thermococcus peptonophilus	1896106	2105	2033	20
GCF_032594435.1	ASM3259443v1	Methanimicrococcus stummii	1827352	1669	1591	18
GCF_000956175.1	ASM95617v1	Nitrosopumilus adriaticus	1803090	2232	2161	23
GCF_002214485.1	ASM221448v1	Thermococcus pacificus	1785673	2001	1931	18
GCF_001006045.1	ASM100604v1	Geoglobus ahangari	1770093	2090	2026	13
GCF_025397995.1	ASM2539799v1	Methanothermobacter wolfeii	1706705	1887	1822	16
GCF_002214385.1	ASM221438v1	Thermococcus gorgonarius	1674122	1905	1841	12
GCF_014876775.1	ASM1487677v1	Infirmifilum lucidum	1625846	1824	1770	5
GCF_000993805.1	ASM99380v1	Infirmifilum uzonense	1611988	1761	1704	6
GCF_000739065.1	ASM73906v1	Methanocaldococcus bathoardescens	1607556	1720	1660	15
GCF_013340765.1	NAS2_1.0	Conexivisphaera calida	1593902	1662	1607	4
GCF_013407165.1	ASM1340716v1	Nitrosopumilus oxyclinae	1585110	1926	1873	5
GCF_013407145.1	ASM1340714v1	Nitrosopumilus cobalaminigenes	1563356	1950	1896	6
GCF_902827225.1	Methanocaldococcus_lauensis_SG7	Methanocaldococcus lauensis	1537427	1626	1551	29
GCF_000800805.1	ASM80080v1	Candidatus Methanoplasma termitum	1488669	1456	1401	4
GCF_020618475.1	ASM2061847v1	Haladaptatus halobius	7279389	7673	7335	275
GCF_000264495.1	ASM26449v1	Thermogladius calderae 1633	1356318	1472	1416	5
GCF_023169545.1	ASM2316954v1	Nanobdella aerobiophila	668961	765	719	
GCF_003852155.1	ASM385215v1	Saccharolobus solfataricus	2658139	2935	2619	265
GCF_002215565.1	ASM221556v1	Sulfolobus acidocaldarius	2225849	2372	2293	28
GCF_000007065.1	ASM706v1	Methanosarcina mazei Go1	4096345	3504	3364	72
GCF_000970065.1	ASM97006v1	Methanosarcina barkeri 227	4487566	3801	3583	147
GCF_001458655.1	Mb9	Methanobacterium formicicum	2494510	2462	2404	3
GCF_010692905.1	ASM1069290v1	Haloferax alexandrinus	3706983	3760	3657	43
GCF_004126515.1	ASM412651v1	Halorubrum ezzemoulense	3726301	3748	3542	124
GCF_000009185.1	ASM918v1	Haloquadratum walsbyi DSM 16790	3179361	2925	2719	153
GCF_024730625.1	ASM2473062v1	Haloferax larsenii	3720723	3795	3701	31
GCF_001190965.1	ASM119096v1	Haloferax gibbonsii	3918454	3933	3845	23
GCF_000734035.1	ASM73403v1	Archaeoglobus fulgidus DSM 8774	2316287	2685	2610	24
GCF_008000775.1	ASM800077v1	Candidatus Prometheoarchaeum syntrophicum	4427796	3984	3929	6
GCF_002355635.1	ASM235563v1	Halopenitus persicus	3105937	3075	2930	74
GCF_001563245.1	ASM156324v1	Methanobrevibacter olleyae	2201192	1911	1842	26
GCF_029225785.1	ASM2922578v1	Haloferax lucentense	3784795	3827	3717	47
GCF_902384015.1	UHGG_MGYG-HGUT-02164	Methanosphaera stadtmanae	1767403	1602	1543	4
GCF_000303155.1	ASM30315v1	Candidatus Nitrososphaera gargensis Ga9.2	2833868	3600	3512	37
GCF_946463545.1	Mth-DSM-2095-CCS-WG	Methanothermococcus thermolithotrophicus DSM 2095	1706496	1729	1671	11
GCF_036967215.1	ASM3696721v1	Sulfolobus tengchongensis	2774215	2831	2731	49
GCF_000191585.1	ASM19158v1	Methanobacterium lacus	2583753	2568	2507	10
GCF_001305655.1	ASM130565v1	Halanaeroarchaeum sulfurireducens	2253500	2334	2252	30
GCF_946300405.1	Thermococcus_nautili_33-3	Thermococcus nautili	2116557	2429	2366	11
GCF_000299395.1	ASM29939v1	Candidatus Nitrosopumilus sediminis	1690905	2129	2078	3
GCF_000955905.1	ASM95590v3	Candidatus Nitrosotenuis cloacae	1620156	1924	1871	2
GCF_000970265.1	ASM97026v1	Methanosarcina lacustris Z-7289	4139808	3506	3339	100
