Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_002954075.1	C. deuterogattii_R265_chr	Cryptococcus deuterogattii R265	17550122	6673	6408	66
GCF_000142805.1	ASM14280v1	Lachancea thermotolerans CBS 6340	10392862	5384	5092	
GCF_000304475.1	Ka_CBS2517	Kazachstania africana CBS 2517	11130140	5646	5375	
GCF_000315915.1	ASM31591v1	Tetrapisispora blattae CBS 6284	14048593	5725	5388	
GCF_000348985.1	ASM34898v1	Kazachstania naganishii CBS 8797	10845821	5486	5319	
GCF_000227115.2	ASM22711v2	Naumovozyma dairenensis CBS 421	13527580	5814	5546	
GCF_000002945.1	ASM294v2	Schizosaccharomyces pombe	12571820	6974	5131	33
GCF_000182965.3	ASM18296v3	Candida albicans SC5314	14282666	6263	6030	18
GCF_000091045.1	ASM9104v1	Cryptococcus neoformans var. neoformans JEC21	19051922	7004	6632	238
GCF_000011425.1	ASM1142v1	Aspergillus nidulans FGSC A4	29828291	10518	10455	63
GCF_014117465.1	ASM1411746v1	Aspergillus flavus NRRL3357	36995582	12323	12009	
GCF_000002525.2	ASM252v1	Yarrowia lipolytica CLIB122	20502981	7144	6471	6
GCF_000027005.1	ASM2700v1	Komagataella phaffii GS115	9216378	5040	5040	
GCF_900079805.1	Fusarium_fujikuroi_IMI58289_V2	Fusarium fujikuroi IMI 58289	43832314	14943	14810	
GCF_000185945.1	ASM18594v1	Cryptococcus gattii WM276	18374760	6580	6565	15
GCF_000315875.1	ASM31587v1	Candida orthopsilosis Co 90-125	12659401	5782	5678	22
GCF_000091225.2	ASM9122v2	Encephalitozoon cuniculi GB-M1	2497519	2155	2122	
GCF_900007375.1	ASM90000737v1	Fusarium venenatum	38581574	14830	13931	
GCF_000146465.1	ASM14646v1	Encephalitozoon intestinalis ATCC 50506	2216898	2010	1938	
GCF_000235365.1	ASM23536v1	Eremothecium cymbalariae DBVPG#7215	9669424	4851	4432	2
GCF_000219625.1	MYCGR v2.0	Zymoseptoria tritici IPO323	39686251	10942	10941	1
GCF_000187245.1	Hansenula_2	Ogataea parapolymorpha DL-1	8874589	5408	5325	
GCF_000236905.1	ASM23690v1	Tetrapisispora phaffii CBS 4417	12115070	5462	5252	
GCF_035222475.1	CBS411.78m_1.0	Podospora pseudopauciseta	36064112	11579	11167	11
GCF_035222275.1	CBS112042p_1.0	Podospora bellae-mahoneyi	34330348	11463	11053	10
GCF_000002655.1	ASM265v1	Aspergillus fumigatus Af293	29384958	9915	9630	57
GCF_000182925.2	NC12	Neurospora crassa OR74A	41037538	10590	9757	18
GCF_000002495.2	MG8	Pyricularia oryzae 70-15	40979121	13184	12825	131
GCF_000240135.3	ASM24013v3	Fusarium graminearum PH-1	36458046	13725	13312	11
GCF_000184455.2	ASM18445v3	Aspergillus oryzae RIB40	37882812	12347	12074	3
GCF_000328475.2	Umaydis521_2.0	Ustilago maydis 521	19664356	6907	6762	
GCF_000149555.1	ASM14955v1	Fusarium verticillioides 7600	41791161	16290	15890	4
GCF_001723175.1	ASM172317v3	Penicillium oxalicum	30795872	9964	9718	
GCF_021901695.1	Pst134E36_v1_pri	Puccinia striiformis f. sp. tritici	89491239	17813	17118	
GCF_004355905.1	PgNI	Pyricularia grisea	44557582	12441	12441	
GCF_000303195.2	FP7	Fusarium pseudograminearum CS3096	36863345	12445	12445	
GCF_000209165.1	ASM20916v1	Scheffersomyces stipitis CBS 6054	15441179	5819	5818	
GCF_001298625.1	SEUB3.0	Saccharomyces eubayanus	11670174	5685	5377	
GCF_001672515.1	ASM167251v1	Colletotrichum higginsianum IMI 349063	50716103	14651	14651	
GCF_001653235.2	ASM165323v2	Pochonia chlamydosporia 170	44215803	14318	14204	1
GCF_002742065.1	CB0940_V2	Cercospora beticola	37057033	12271	12271	
GCF_019609905.1	ASM1960990v1	Fusarium poae	43859651	14125	13851	
GCF_020623625.1	UHD_SCDLUD_16	Saccharomycodes ludwigii	12500424	5335	5026	
GCF_028009165.1	ASM2800916v1	Akanthomyces muscarius	36207525	12347	12347	
GCF_001625195.1	ASM162519v1	Drechmeria coniospora	32831003	8445	8236	68
GCF_018924745.1	UU_Maror_2	Marasmius oreades	44306131	13890	13700	
GCF_017499595.1	MGC_Penvy_1	Psilocybe cubensis	46389424	13556	13330	
GCF_000277815.2	ASM27781v3	Encephalitozoon hellem ATCC 50504	2251784	2006	1928	
GCF_028502605.1	ASM2850260v1	Trichoderma breve	38609973	11590	11590	
GCF_019915245.1	ASM1991524v1	Fusarium musae	44015302	13962	13672	
GCF_000280035.1	ASM28003v2	Encephalitozoon romaleae SJ-2008	2187595	1883	1831	1
GCF_035222485.1	CBS124.78p_1.0	Podospora pseudoanserina	34828952	11544	11140	5
GCF_025433545.1	ASM2543354v1	Fusarium keratoplasticum	49462855	14934	14423	511
GCF_035222375.1	CBS415.72m_1.0	Podospora pseudocomata	34981282	11725	11321	11
GCF_004337985.1	PpBr36	Pyricularia pennisetigena	49117040	11428	11428	
GCF_000002855.4	ASM285v2	Aspergillus niger	33975768	14404	14058	17
GCF_000150675.1	ASM15067v2	Verticillium dahliae VdLs.17	33828453	10811	10535	2
GCF_000151355.1	v2.0	Fusarium vanettenii 77-13-4	51286497	15708	15708	
GCF_000167675.1	v2.0	Trichoderma reesei QM6a	33395713	9116	9109	7
GCF_003025095.1	Triha v1.0	Trichoderma harzianum CBS 226.95	40980648	14294	14064	25
GCF_003025105.1	Trias v. 1.0	Trichoderma asperellum CBS 433.97	37464610	12801	12556	26
GCF_000149425.1	ASM14942v1	Meyerozyma guilliermondii ATCC 6260	10609954	6062	5920	6
GCF_000149035.1	C_graminicola_M1_001_V1	Colletotrichum graminicola M1.001	51604658	12399	12019	1
GCF_000293215.1	Trichosporon asahii 1	Trichosporon asahii var. asahii CBS 2479	24507743	8834	8311	
GCF_001890705.1	Aspsy1	Aspergillus sydowii CBS 593.65	34381026	13717	13579	1
GCF_001661405.1	Cybja1	Cyberlindnera jadinii NRRL Y-1542	13018415	6184	6032	
GCF_004022145.1	Paevar1	Paecilomyces variotii	30105809	9415	9270	3
GCF_001641265.1	ASM164126v1	Pseudogymnoascus destructans	35818201	9620	9405	
GCF_001890905.1	Aspac1	Aspergillus aculeatus ATCC 16872	35424414	11152	10830	1
GCF_001278385.1	MalaPachy	Malassezia pachydermatis	8150648	4202	4202	
GCF_000150705.2	Paracocci_br_Pb01_V2	Paracoccidioides lutzii Pb01	32925248	8953	8826	3
GCF_000223485.1	Spathaspora passalidarum v2.0	Spathaspora passalidarum NRRL Y-27907	13182099	5978	5978	
GCF_000223465.1	Candida tenuis v1.0	Yamadazyma tenuis ATCC 10573	10747050	5547	5547	
GCF_001890125.1	Aspve1	Aspergillus versicolor CBS 583.65	33126810	13364	13222	1
GCF_022830035.1	ASM2283003v1	Ophidiomyces ophidiicola	21919615	6936	6833	
GCF_001661265.1	Saico1	Saitoella complicata NRRL Y-17804	14136186	7200	7023	
GCF_001890805.1	Aspgl1	Aspergillus glaucus CBS 516.65	27993362	11429	11254	3
GCF_001664035.1	Metbi1	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	16055203	6090	5837	4
GCF_028828155.1	ASM2882815v1	Penicillium subrubescens	39968067	13458	13458	
GCF_009176365.1	Aspalli1	Aspergillus alliaceus	40168528	13336	13098	1
GCF_000747765.1	ASM74776v1	Moesziomyces antarcticus	18111965	6885	6764	
GCF_000149645.3	ASM14964v4	Aspergillus fischeri NRRL 181	31377515	10665	10388	26
GCF_000181695.2	ASM18169v2	Malassezia globosa CBS 7966	8954998	4278	4278	
GCF_000221225.1	CTHT_3.0	Thermochaetoides thermophila DSM 1495	28322806	7474	7164	68
GCF_000409485.1	GLAREA	Glarea lozoyensis ATCC 20868	39509734	13081	13081	
GCF_003184765.1	Aspacu1	Aspergillus aculeatinus CBS 121060	36471649	12354	12028	3
GCF_001661395.1	Hypbu1	Hyphopichia burtonii NRRL Y-1933	12403110	6166	5995	
GCF_000150035.1	ASM15003v1	Vanderwaltozyma polyspora DSM 70294	14674591	5764	5325	38
GCF_003426965.1	ASM342696v1	Aspergillus tanneri	38719388	11845	11682	
GCF_013036055.1	ASM1303605v1	Alternaria burnsii	32958128	11314	11314	
GCF_000835505.1	Exop_xeno_CBS118157_V1	Exophiala xenobiotica	31405760	12077	12019	5
GCF_001078395.1	Aud_assembly02	Aspergillus udagawae	32252303	11010	10796	
GCF_000836275.1	Exop_meso_CBS40295_V1	Exophiala mesophila	29273723	9237	9181	5
GCF_025201335.1	Gilper1	Gilbertella persicaria	25732466	11124	10987	
GCF_024610275.1	ASM2461027v1	Candida theae	12421729	5432	5385	21
GCF_001720205.1	Cryp_amyl_CBS6039_V3	Cryptococcus amylolentus CBS 6039	20254996	8503	8249	6
GCF_000835455.1	Fons_pedr_CBS_271_37_V1	Fonsecaea pedrosoi CBS 271.37	34688880	12573	12527	5
GCF_000003125.1	JCVI-TSTA1-3.0	Talaromyces stipitatus ATCC 10500	35685443	12572	12455	13
GCF_025118155.1	Cokrec1	Cokeromyces recurvatus	28120762	11066	10913	2
GCF_000002715.2	ASM271v1	Aspergillus clavatus NRRL 1	27859441	9376	9118	23
GCF_000835475.1	Clad_bant_CBS_173_52_V1	Cladophialophora bantiana CBS 173.52	36722552	12817	12762	4
GCF_000835555.1	Rhin_mack_CBS_650_93_V1	Rhinocladiella mackenziei CBS 650.93	32474431	11418	11382	3
GCF_000365165.1	Clad_carr_CBS_160_54_V1	Cladophialophora carrionii CBS 160.54	28991111	10428	10373	8
GCF_001661235.1	Picme2	Pichia membranifaciens NRRL Y-2026	11582150	5701	5542	
GCF_003184835.1	Aspcos1	Aspergillus costaricaensis CBS 115574	36947918	12238	11966	5
GCF_001720155.1	Tsuc_wing_CBS7118_V1	Cryptococcus wingfieldii CBS 7118	19969799	8314	8094	
GCF_003184625.1	Aspneo1	Aspergillus neoniger CBS 115656	35416444	12223	11939	4
GCF_003184865.1	Asphom1	Aspergillus homomorphus CBS 101889	34054866	11663	11361	1
GCF_000004155.1	SCY4	Schizosaccharomyces cryophilus OY26	11554764	5494	5155	1
GCF_000263375.1	Wallemia sebi v1.0	Wallemia mellicola CBS 633.66	9815586	5395	5277	2
GCF_003184785.1	Aspjap1	Aspergillus japonicus CBS 114.51	36099954	12345	12022	6
GCF_001204775.2	ASM120477v2	Aspergillus nomiae NRRL 13137	36137300	11904	11904	
GCF_000968595.1	ASM96859v1	Rasamsonia emersonii CBS 393.64	28248805	9841	9841	
GCF_033439665.1	Achstr1	Chaetomium strumarium	32422668	10401	10185	12
GCF_002849105.1	Aspste1	Aspergillus steynii IBT 23096	37847960	13148	12919	11
GCF_002847465.1	Aspnov1	Aspergillus novofumigatus IBT 16806	32440129	11620	11426	12
GCF_025201355.1	Halrad1	Halteromyces radiatus	26215609	10305	10173	
GCF_022578975.1	Hyptru1	Hypoxylon trugodes	39350407	12128	11996	6
GCF_002105095.1	Pseve2	Pseudomassariella vexata	44711451	12950	12564	4
GCF_036884675.1	Schcoi1	Scheffersomyces coipomensis	14757374	6328	6180	15
GCF_036850825.1	Schama1	Scheffersomyces amazonensis	14209774	6209	6070	1
GCF_025331425.1	Radspe1	Radiomyces spectabilis	30409402	11044	10883	
GCF_036327395.1	ASM3632739v1	Knufia obscura	30507620	11327	11248	
GCF_022695815.1	EurotioJF033F_1	Exophiala viscosa	28289675	11369	11345	
GCF_003144295.1	Acain1	Acaromyces ingoldii	19330111	8071	8026	
GCF_000338955.1	Bauco1	Baudoinia panamericana UAMH 10762	21875620	10541	10500	3
GCF_022496945.1	Annmae1	Annulohypoxylon maeteangense	38245008	11144	11000	4
GCF_024610255.1	ASM2461025v1	Candida jiufengensis	13666317	5705	5671	8
GCF_000721765.1	Aureobasidium pullulans var. namibiae CBS 147.97 v1.0	Aureobasidium namibiae CBS 147.97	25428601	10259	10259	
GCF_000512605.1	Cryp_pinu_CBS10737_V1	Kwoniella pini CBS 10737	20828584	7931	7829	1
GCF_000512585.1	Cryp_best_CBS10118_V1	Kwoniella bestiolae CBS 10118	24360772	9270	9133	7
GCF_001299255.1	ASM129925v1	Phialophora attinorum	30363635	11841	11841	
GCF_024521655.1	Durrog2	Durotheca rogersii	48181149	10623	10535	3
GCF_021052385.1	Filflo1	Filobasidium floriforme	27469088	8420	8301	3
GCF_003184525.1	Aspscl1	Aspergillus sclerotioniger CBS 115572	36720365	12650	12338	2
GCF_002104995.1	Linpe1	Linderina pennispora	26202545	9583	9350	
GCF_010093505.1	Horac1	Neohortaea acidophila	20432448	9858	9826	6
GCF_003184535.1	Aspeuc1	Aspergillus eucalypticola CBS 122712	34792412	12127	11853	4
GCF_024610245.1	ASM2461024v1	Candida pseudojiufengensis	13993769	5846	5808	12
GCF_000721755.1	Aureobasidium pullulans var. subglaciale EXF-2481 v1.0	Aureobasidium subglaciale EXF-2481	25796716	10792	10792	
GCF_025526975.1	Fimjon1	Fimicolochytrium jonesii	30619153	10236	10065	20
GCF_000585585.1	Capr_coro_CBS_617_96_V1	Capronia coronata CBS 617.96	25807613	9231	9231	
GCF_000938715.1	LALA0	Lachancea lanzarotensis	11092131	5319	5056	59
GCF_003184925.1	Aspvad1	Aspergillus vadensis CBS 113365	35663374	12404	12132	7
GCF_002105155.1	Lobtra1	Lobosporangium transversale	42768949	11983	11818	
GCF_000585515.1	Clad_yegr_CBS_114405_V1	Cladophialophora yegresii CBS 114405	27898422	10118	10118	
GCF_003184545.1	Asphet1	Aspergillus heteromorphus CBS 117.55	35607567	11089	10783	1
GCF_003144245.1	Jamsp1	Jaminaea rosea	16615586	6904	6858	2
GCF_003144205.1	Meimi1	Meira miltonrushii	17383515	7485	7444	1
GCF_000512565.1	Cryp_deje_CBS10117_V1	Kwoniella dejecticola CBS 10117	23862392	8724	8602	4
GCF_000365145.1	Phia_euro_CBS_101466_V1	Cyphellophora europaea CBS 101466	28781303	11153	11094	1
GCF_000709125.1	Exop_aqua_CBS_119918_V1	Exophiala aquamarina CBS 119918	41566958	13118	13118	
GCF_000507465.1	Kwon_mang_CBS8507_V2	Kwoniella mangroviensis CBS 8507	22654511	8554	8421	5
GCF_003357145.1	ASM335714v1	Venustampulla echinocandica	33639795	10707	10707	
GCF_010094035.1	Trepe1	Trematosphaeria pertusa	47745773	17364	17296	6
GCF_003184755.1	Asppip1	Aspergillus piperis CBS 112811	35280331	12360	12071	5
GCF_022829205.1	ASM2282920v1	Neoarthrinium moseri	43702215	13929	13929	
GCF_019669845.1	AcreTS7_1	Emericellopsis atlantica	27300990	10066	9962	1
GCF_010015735.1	Aaoar1	Aaosphaeria arxii CBS 175.79	38901049	14293	14201	3
GCF_006535985.1	ASM653598v1	Synchytrium microbalum	26244175	6304	6304	
GCF_008629635.1	Kwon_shan_CBS_12478_V1	Kwoniella shandongensis	21297554	7547	7423	39
GCF_010015815.1	Dotsy1	Dothidotthia symphoricarpi CBS 119687	34433519	11821	11704	4
GCF_000585535.1	Clad_psam_CBS_110553_V1	Cladophialophora psammophila CBS 110553	39420127	13421	13421	
GCF_003144135.1	Rhodsp1	Pseudomicrostroma glucosiphilum	17184282	6727	6681	1
GCF_025602895.1	Polagg1_1	Polychytrium aggregatum	64917104	11051	10669	2
GCF_010093935.1	Zasce1	Zasmidium cellare ATCC 36951	38247703	16072	16015	7
GCF_000576695.1	AUH_PRJEB4427_v1	Kuraishia capsulata CBS 1993	11371246	5988	5988	
GCF_025024155.1	Mormul1	Gamsiella multidivaricata	37665308	12419	12215	26
GCF_001619985.1	Xylona heveae TC161 v1.0	Xylona heveae TC161	24337763	8346	8201	
GCF_000400465.1	Wallemia ichthyophaga version 1.0	Wallemia ichthyophaga EXF-994	9655632	5000	4863	10
GCF_030913465.1	Colna1	Colletotrichum navitas	52434554	14963	14678	4
GCF_025766255.1	Zycmex1	Zychaea mexicana	50638590	14134	13986	9
GCF_003184825.1	Aspfij1	Aspergillus fijiensis CBS 313.89	36513906	12334	12016	3
GCF_010094085.1	Wesor1	Westerdykella ornata	26979746	10501	10405	2
GCF_000497045.1	PSEUBRA1	Kalmanozyma brasiliensis GHG001	17325407	6542	6421	
GCF_003184845.1	Aspibe1	Aspergillus ibericus CBS 121593	33437983	11989	11680	5
GCF_010015565.1	Disac1	Dissoconium aciculare CBS 342.82	26537235	10366	10293	3
GCF_003184745.1	Aspuva1	Aspergillus uvarum CBS 121591	35850703	12347	12014	4
GCF_001883845.1	ASM188384v1	Diplodia corticola	34986079	10831	10831	
GCF_003184695.1	Aspbru1	Aspergillus brunneoviolaceus CBS 621.78	37477200	12391	12073	2
GCF_001792695.1	ASM179269v1	Aspergillus bombycis	37474605	12263	12263	
GCF_010093815.1	Psehy1	Pseudovirgaria hyperparasitica	35440147	11298	11218	5
GCF_010093625.1	Macan1	Macroventuria anomochaeta	33336106	13082	12940	6
GCF_003369625.1	ASM336962v1	Aspergillus mulundensis	45341896	11603	11603	
GCF_003144195.1	Cersp1	Ceraceosorus guamensis	24148100	7861	7822	1
GCF_001661335.1	Babin1	Babjeviella inositovora NRRL Y-12698	15221050	6795	6397	5
GCF_024628925.1	ASM2462892v1	Candida margitis	12909612	5528	5488	40
GCF_009193645.1	Asppsen1	Aspergillus pseudonomiae	37780514	13621	13384	4
GCF_001890105.1	Aspzo1	Penicilliopsis zonata CBS 506.65	26088231	10027	9869	3
GCF_010093595.1	Mytre1	Mytilinidion resinicola	47275052	16878	16792	9
GCF_001661415.1	Canta1	Suhomyces tanzawaensis NRRL Y-17324	13136204	6143	5884	2
GCF_010015585.1	Erebi1	Eremomyces bilateralis CBS 781.70	26864015	9933	9874	2
GCF_021821965.1	FI-F-10 v. 1	Ordospora pajunii	2206487	1877	1826	
GCF_007821495.1	CFIA_Lhya_EG2017	Lachnellula hyalina	33828344	9248	9157	9
GCF_023343755.2	ASM2334375v2	Candida oxycetoniae	12748657	4944	4896	22
GCF_029851405.1	ASM2985140v1	Lichtheimia ornata	37534108	13169	13016	6
GCF_010094145.1	Didex1	Didymella exigua CBS 183.55	34389227	12508	12355	29
GCF_000711695.1	Tilletiaria anomala UBC 951 v1.0	Tilletiaria anomala UBC 951	18704010	6869	6805	1
GCF_010093885.1	Aplpr1	Aplosporella prunicola CBS 121167	32818685	12738	12531	40
GCF_003711515.1	Sodal1	Sodiomyces alkalinus F11	43450096	9625	9403	31
GCF_010093535.1	Linin1	Lindgomyces ingoldianus	69030646	16000	15946	9
GCF_009193585.1	Aspcae1	Aspergillus caelatus	40016351	14158	13914	
GCF_019202705.1	ASM1920270v1	[Candida] subhashii	15377153	6204	6146	32
GCF_000292625.1	Dacryopinax sp. DJM 731 SSP1 v1.0	Dacryopinax primogenitus	29503487	10298	10237	2
GCF_001447935.2	debFab1.1	Debaryomyces fabryi	11695966	6025	6025	
GCF_000760515.2	UGP1.1	Mitosporidium daphniae	5635072	3291	3291	
GCF_033847375.1	Triagg1	Trichoderma aggressivum f. europaeum	38856605	10998	10998	
GCF_028827825.1	ASM2882782v1	Penicillium malachiteum	35880773	13213	13212	1
GCF_028829455.1	ASM2882945v1	Penicillium robsamsonii	29159420	11254	11254	
GCF_016097325.1	ASM1609732v1	Aspergillus melleus	38850827	13060	12848	1
GCF_028829775.1	ASM2882977v1	Penicillium samsonianum	38201884	14061	14061	
GCF_028827245.1	ASM2882724v1	Penicillium angulare	37782843	13390	13389	1
GCF_902498895.1	sapIngB	Saprochaete ingens	21189208	6475	6475	
GCF_014898465.1	ASM1489846v1	Botrytis porri	46789968	12076	12076	
GCF_014898435.1	ASM1489843v1	Botrytis sinoallii	61289320	12200	12200	
GCF_024043165.1	ASM2404316v1	Alternaria incomplexa	33457300	11090	10979	
GCF_023758025.1	ASM2375802v1	Alternaria triticimaculans	36788567	11086	10976	
GCF_024043155.1	ASM2404315v1	Alternaria arbusti	33977964	11826	11721	
GCF_023758065.1	ASM2375806v1	Alternaria ventricosa	34687354	11061	10954	
GCF_014898295.1	ASM1489829v1	Botrytis byssoidea	42981876	12204	12204	
GCF_023758075.1	ASM2375807v1	Alternaria novae-zelandiae	37570309	11027	10919	
GCF_024043175.1	ASM2404317v1	Alternaria infectoria	36515125	11092	10982	
GCF_035928015.1	ASM3592801v1	Saxophila tyrrhenica	25918878	11243	11205	
GCF_023758015.1	ASM2375801v1	Alternaria viburni	36351886	11856	11747	
GCF_023757995.1	ASM2375799v1	Alternaria metachromatica	37283841	11107	11000	
GCF_023758085.1	ASM2375808v1	Alternaria hordeiaustralica	36958049	11145	11036	
GCF_035927105.1	ASM3592710v1	Exophiala bonariae	37886950	13107	13061	
GCF_023757985.1	ASM2375798v1	Alternaria ethzedia	36016348	11096	10985	
GCF_001773325.1	ASM177332v1	Penicillium arizonense	33729052	12200	12200	
GCF_035927965.1	ASM3592796v1	Recurvomyces mirabilis	27128294	10983	10917	
GCF_020536065.1	ASM2053606v1	Ogataea philodendri	9002259	7511	7457	27
GCF_001646965.1	ASM164696v1	Fonsecaea nubica	33787447	11717	11681	
GCF_024291825.1	ASM2429182v1	Alternaria postmessia	34409470	11767	11632	
GCF_001642475.1	ASM164247v1	Fonsecaea monophora	35229797	12021	11984	
GCF_001662655.1	ASM166265v1	Pseudogymnoascus verrucosus	30174856	10799	10685	
GCF_021653875.1	ASM2165387v1	Nematocida major	3787290	2415	2415	
GCF_013396195.1	ASM1339619v1	Fusarium tjaetaba	43066134	14181	14181	
GCF_008704595.1	ASM870459v1	Diutina rugosa	13445959	5819	5815	4
GCF_000313485.1	ASM31348v1	Wickerhamomyces ciferrii	15901152	6702	6702	
GCF_024244105.1	nmin_JUm1510	Nematocida minor	3742434	2523	2523	
GCF_000280675.1	ASM28067v1	Beauveria bassiana ARSEF 2860	33693936	10364	10364	
GCF_001642055.1	Altal1	Alternaria alternata	32990834	13577	13466	5
GCF_000006335.3	ASM633v3	Candida tropicalis MYA-3404	14579835	6441	6254	1
GCF_020744495.1	Fusso1	Fusarium solani	52932111	17940	17654	3
GCF_000146945.2	ASM14694v2	Sclerotinia sclerotiorum 1980 UF-70	38330312	14714	14490	4
GCF_000320785.1	RHOziaDV1.0	Rhodotorula toruloides NP11	20223942	8171	8140	30
GCF_000171015.1	TRIAT v2.0	Trichoderma atroviride IMI 206040	36143664	11801	11800	1
GCF_014466165.1	ASM1446616v1	Pleurotus ostreatus	34897228	11849	11694	
GCF_000225605.1	CmilitarisCM01_v01	Cordyceps militaris CM01	32268578	9651	9651	
GCF_011800055.1	NFU_CgLc1_1.0	Colletotrichum gloeosporioides	61904035	15667	15368	299
GCF_000149615.1	ASM14961v1	Aspergillus terreus NIH2624	29331195	10551	10401	3
GCF_000182765.1	ASM18276v2	Candida parapsilosis	12998393	5950	5827	26
GCF_021015755.1	Lenedo1	Lentinula edodes	45594472	14392	14078	3
GCF_028827035.1	ASM2882703v1	Penicillium chrysogenum	32379777	11975	11974	1
GCF_000721785.1	Aureobasidium pullulans var. pullulans EXF-150, assembly version 1.0	Aureobasidium pullulans EXF-150	29621078	11844	11844	
GCF_000439145.1	ASM43914v3	Rhizophagus irregularis DAOM 181602=DAOM 197198	136726313	26245	26143	3
