Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_010669205.1	ASM1066920v1	Blautia producta ATCC 27340 = DSM 2950	6197116	5791	5596	106
GCF_012427845.1	ASM1242784v1	Pectobacterium punjabense	4793778	4343	4182	54
GCF_016028515.1	ASM1602851v1	Stutzerimonas frequens	4394686	4170	4065	28
GCF_034424545.1	ASM3442454v1	Trinickia caryophylli	6589281	5839	5684	82
GCF_003628755.1	ASM362875v1	Christensenella minuta	2969292	2883	2802	18
GCF_002849715.1	ASM284971v1	Arthrobacter crystallopoietes	5032705	4668	4548	41
GCF_013046825.1	ASM1304682v1	Turicibacter sanguinis	2999687	2904	2735	19
GCF_016728365.1	ASM1672836v1	Corynebacterium tuberculostearicum	2451854	2326	2219	41
GCF_019931005.1	ASM1993100v1	Granulicatella adiacens	1965420	1942	1841	24
GCF_010727475.1	ASM1072747v1	Mycolicibacterium mageritense	8006721	7811	7603	114
GCF_008705175.1	ASM870517v1	Clostridium diolis	5940808	5284	5089	53
GCF_013372225.1	ASM1337222v1	Campylobacter ureolyticus	1820334	1843	1768	13
GCF_023920225.1	ASM2392022v1	Vibrio gazogenes	4712479	4171	3996	61
GCF_900638015.1	54984_A01	Listeria grayi	2751104	2739	2633	19
GCF_016127255.1	ASM1612725v1	Leuconostoc pseudomesenteroides	2114657	2129	2027	18
GCF_900637655.1	52295_B01	Segatella oris	3168212	2631	2487	68
GCF_030408375.1	ASM3040837v1	Corynebacterium afermentans subsp. lipophilum	2353801	2238	2151	21
GCF_004803815.1	ASM480381v1	Campylobacter showae	2097887	2084	2008	17
GCF_013372165.1	ASM1337216v1	Campylobacter hyointestinalis subsp. lawsonii	1808149	1885	1805	23
GCF_008704795.1	ASM870479v1	Streptomyces spectabilis	9807160	8279	8075	118
GCF_014673495.1	ASM1467349v1	Streptomyces griseofuscus	9116672	8257	7903	255
GCF_019933235.1	ASM1993323v1	Streptomyces angustmyceticus	8116382	7096	6858	147
GCF_013389765.1	ASM1338976v1	Micromonospora carbonacea	7528335	6386	6216	104
GCF_012767755.2	ASM1276775v2	Pseudomonas tohonis	6826062	6222	6093	48
GCF_019645875.1	ASM1964587v1	Mycolicibacterium senegalense	6086722	5815	5701	56
GCF_010731695.1	ASM1073169v1	Mycolicibacterium litorale	5579510	5400	5269	74
GCF_001658025.2	ASM165802v2	Kosakonia oryzae	5416158	5148	4969	62
GCF_021462285.1	ASM2146228v1	Serratia entomophila	5147822	4913	4732	50
GCF_034554815.1	ASM3455481v1	Rhizobium indigoferae	7640287	7412	7038	308
GCF_018075365.1	ASM1807536v1	Virgibacillus pantothenticus	4761851	4423	4216	119
GCF_021919345.1	ASM2191934v1	Paenarthrobacter nicotinovorans	4481325	4182	4083	24
GCF_019977755.1	ASM1997775v1	Vibrio penaeicida	6782963	6028	5810	74
GCF_016028635.1	ASM1602863v1	Stutzerimonas degradans	4042123	3840	3734	30
GCF_003367705.1	ASM336770v1	Microbacterium foliorum	3568138	3382	3315	12
GCF_000975265.2	ASM97526v2	Mycobacterium lepromatosis	3271694	3115	2387	676
GCF_020162115.1	ASM2016211v1	Tepidimonas taiwanensis	2915587	2758	2647	47
GCF_003860565.1	ASM386056v1	Cloacibacterium normanense	2759562	2545	2474	23
GCF_029909795.1	ASM2990979v1	Paracoccus versutus	4969440	4977	4793	120
GCF_003012915.1	ASM301291v1	Staphylococcus felis	2479423	2372	2246	45
GCF_016028295.1	ASM1602829v1	Staphylococcus auricularis	2216575	2128	1993	56
GCF_003194085.1	ASM319408v1	Aurantimicrobium photophilum	1748063	1763	1706	10
GCF_004117095.1	ASM411709v1	Paenibacillus chitinolyticus	6509090	5973	5766	61
GCF_901482695.1	45076_G02	Sphingobacterium thalpophilum	5962893	5083	4958	20
GCF_019669905.1	ASM1966990v1	Methylomonas koyamae	5102400	4588	4477	51
GCF_003860345.1	ASM386034v1	Caenibius tardaugens NBRC 16725	4358096	4117	3989	70
GCF_022674245.1	ASM2267424v1	Alicyclobacillus acidoterrestris	4346939	4313	4047	91
GCF_029094545.1	ASM2909454v1	Alkalihalophilus pseudofirmus	4239319	4384	4221	42
GCF_024347635.1	ASM2434763v1	Vibrio tasmaniensis	4992314	4446	4194	69
GCF_030408675.1	ASM3040867v1	Corynebacterium durum	2786863	2580	2496	16
GCF_900478045.1	47555_C02	Corynebacterium minutissimum	2695970	2502	2403	33
GCF_008151785.1	ASM815178v1	Peptacetobacter hiranonis	2521899	2358	2223	8
GCF_005221305.1	ASM522130v1	Neisseria subflava	2195659	2105	1979	51
GCF_016127475.1	ASM1612747v1	Anaerococcus vaginalis	1893964	1791	1710	19
GCF_900475675.1	45473_D02	Streptococcus lutetiensis	1793521	1824	1640	89
GCF_018394055.1	ASM1839405v1	Weissella ceti	1505791	1575	1473	5
GCF_900637185.1	49867_H01	Nocardia asteroides	6983363	6476	6344	64
GCF_000445445.2	SOV	Sporomusa ovata DSM 2662	5433971	5357	5079	68
GCF_016127955.1	ASM1612795v1	Actinomyces oris	3190396	2667	2582	21
GCF_016724805.1	ASM1672480v1	Sutterella wadsworthensis	3026517	2469	2375	12
GCF_036323475.1	ASM3632347v1	Solobacterium moorei	2615268	2611	2522	35
GCF_900637515.1	51184_A01	Veillonella dispar	2116915	1982	1906	12
GCF_013372125.1	ASM1337212v1	Campylobacter curvus	1974918	1975	1893	22
GCF_033096465.1	ASM3309646v1	Blautia luti	3741599	3479	3297	97
GCF_034356035.1	ASM3435603v1	Blautia hydrogenotrophica DSM 10507	3597785	3450	3338	26
GCF_022453685.1	ASM2245368v1	Agathobacter rectalis	3451485	3373	3232	62
GCF_003711105.1	ASM371110v1	Actinoplanes teichomyceticus ATCC 31121	8287152	7294	7116	104
GCF_025147765.1	ASM2514776v1	Blautia obeum ATCC 29174	3649956	3503	3360	65
GCF_025148965.1	ASM2514896v1	Intestinibacter bartlettii	3006269	2785	2651	10
GCF_003544835.1	ASM354483v1	Aliarcobacter skirrowii CCUG 10374	1969846	2050	1985	4
GCF_016127275.1	ASM1612727v1	Streptococcus infantarius	1958742	2028	1841	91
GCF_015291705.1	ASM1529170v1	Bradyrhizobium arachidis	9865973	9388	9132	201
GCF_037414505.1	Str_netropsis_B-235_v1	Streptomyces netropsis	8144008	7027	6794	133
GCF_006716135.1	ASM671613v1	Streptomyces calvus	7766581	6637	6437	117
GCF_003945385.1	ASM394538v1	Pseudonocardia autotrophica	7535285	7108	6939	100
GCF_008932115.1	ASM893211v1	Bradyrhizobium betae	7419402	7142	6904	184
GCF_003614435.1	ASM361443v1	Mycobacterium paragordonae	7224251	6516	6339	123
GCF_026072635.1	ASM2607263v1	Pseudomonas solani	6661285	6050	5784	187
GCF_003352185.1	ASM335218v1	Pseudomonas kribbensis	6324282	5786	5646	43
GCF_008728195.1	ASM872819v1	Roseovarius indicus	6173065	6061	5925	83
GCF_037948395.1	ASM3794839v1	Serratia nevei	5464446	5213	5050	35
GCF_006711645.1	ASM671164v1	Klebsiella electrica	5785203	5597	5297	184
GCF_003258315.1	ASM325831v1	Bradymonas sediminis	5045683	3800	3698	30
GCF_007995155.1	ASM799515v1	Cytobacillus dafuensis	4916069	4667	4465	56
GCF_020181655.1	ASM2018165v1	Pectobacterium colocasium	4912018	4432	4233	91
GCF_900635955.1	36672_A01	Cedecea lapagei	4778444	4604	4310	176
GCF_018736065.1	ASM1873606v1	Flammeovirga kamogawensis	6968008	5390	5245	13
GCF_017352135.1	ASM1735213v1	Rhizobium lentis	6423001	6289	6017	205
GCF_028877475.1	ASM2887747v1	Lysinibacillus irui	4698732	4725	4524	53
GCF_028553805.1	ASM2855380v1	Paracoccus saliphilus	4621331	4447	4299	93
GCF_021165935.1	ASM2116593v1	Microbulbifer elongatus	4196952	3452	3372	16
GCF_003096095.1	ASM309609v1	Dietzia psychralcaliphila	3904836	3651	3565	26
GCF_015476235.1	ASM1547623v1	Caldimonas thermodepolymerans	3858501	3664	3580	23
GCF_019343455.1	ASM1934345v1	Alcaligenes ammonioxydans	3774827	3453	3347	36
GCF_028751525.1	ASM2875152v1	Alicyclobacillus cycloheptanicus	3617228	3421	3296	35
GCF_013283835.1	ASM1328383v1	Poseidonibacter lekithochrous	3568672	3442	3326	7
GCF_036323495.1	ASM3632349v1	Limnobacter thiooxidans	3536915	3224	3165	10
GCF_002906655.1	ASM290665v1	Vibrio hyugaensis	5612082	5032	4766	95
GCF_024347475.1	ASM2434747v1	Vibrio fortis	5281637	4650	4443	28
GCF_030408755.1	ASM3040875v1	Corynebacterium felinum	3236025	2717	2617	22
GCF_003966655.1	ASM396665v1	Acidithiobacillus ferridurans	2921399	3034	2902	76
GCF_003544855.1	ASM354485v1	Malaciobacter marinus	2917098	2847	2758	6
GCF_003966915.1	ASM396691v1	Mycoavidus cysteinexigens	2795004	2420	2246	123
GCF_004564075.1	ASM456407v1	Microbacterium sediminis	2919864	2829	2758	16
GCF_003795145.1	ASM379514v1	Tetragenococcus koreensis	2732026	2640	2478	80
GCF_030408435.1	ASM3040843v1	Corynebacterium auriscanis	2599172	2202	2094	46
GCF_030408395.1	ASM3040839v1	Corynebacterium aquatimens	2524396	2234	2129	45
GCF_900478035.1	47555_E02	Corynebacterium renale	2335089	2204	2126	10
GCF_014397255.1	ASM1439725v1	Weissella diestrammenae	1659381	1658	1551	32
GCF_001687475.2	ASM168747v2	Campylobacter hepaticus	1520669	1539	1432	52
GCF_024498275.1	ASM2449827v1	Mycoplasmoides fastidiosum	1221951	873	830	6
GCF_900660515.1	50766_E01-3	Mycoplasmopsis bovirhinis	922012	790	745	3
GCF_014701115.1	ASM1470111v1	Streptomyces aurantiacus	9428393	8212	7922	201
GCF_018966525.1	ASM1896652v1	Paenibacillus sophorae	5867720	5749	5555	78
GCF_009769165.1	ASM976916v1	Xanthomonas hyacinthi	4963026	4388	4092	233
GCF_008931805.1	ASM893180v1	Moritella marina ATCC 15381	4760425	4295	4068	29
GCF_900475855.1	46338_B02	Providencia heimbachae	4286000	3901	3761	37
GCF_004124315.2	ASM412431v2	Bacillus cabrialesii	4125766	4221	3993	107
GCF_009646115.1	ASM964611v1	Pantoea eucalypti	4798990	4504	4309	78
GCF_003010915.2	ASM301091v2	Gulosibacter molinativorax	3502671	3259	3165	33
GCF_022788655.1	ASM2278865v1	Sulfitobacter indolifex	4498570	4372	4238	69
GCF_002902965.1	ASM290296v1	Paraburkholderia hospita	11527706	10507	10083	332
GCF_007970465.1	ASM797046v1	Corynebacterium nuruki S6-4	3173955	2889	2784	31
GCF_019047805.1	ASM1904780v1	Corynebacterium freneyi	2881812	2566	2472	28
GCF_013340845.1	ASM1334084v1	Hydrogenovibrio marinus	2491293	2360	2300	5
GCF_023520795.1	ASM2352079v1	Corynebacterium accolens	2465625	2326	2212	49
GCF_900638305.1	57043_C01	Porphyromonas cangingivalis	2404857	2013	1927	23
GCF_030408415.1	ASM3040841v1	Corynebacterium appendicis CIP 107643	2284440	2226	2099	65
GCF_900476255.1	53750_A02	Porphyromonas crevioricanis	2133352	1790	1698	22
GCF_900475915.1	48128_H02	Arcanobacterium haemolyticum	1988850	1851	1767	19
GCF_016726485.1	ASM1672648v1	Peptoniphilus harei	1929566	1831	1747	30
GCF_003285065.1	ASM328506v1	Mycoplasmopsis anatis	956094	840	793	5
GCF_900476125.1	50861_F01	Metamycoplasma alkalescens	821059	698	653	3
GCF_900660695.1	57612_E01-3	Mycoplasmopsis meleagridis	644173	562	519	1
GCF_025148125.1	ASM2514812v1	Blautia wexlerae DSM 19850	4685728	4431	4174	172
GCF_016026395.1	ASM1602639v1	Edwardsiella hoshinae	3817113	3536	3338	65
GCF_900637555.1	51726_E01	Lautropia mirabilis	3172010	2605	2488	50
GCF_011067105.1	ASM1106710v1	Deinococcus wulumuqiensis R12	3505947	3357	3258	40
GCF_006542335.1	ASM654233v1	Neokomagataea tanensis	2577002	2383	2227	66
GCF_007990545.2	ASM799054v2	Leptotrichia wadei	2337418	2171	2085	22
GCF_005221285.1	ASM522128v1	Neisseria flavescens	2231882	2263	2088	94
GCF_016889385.1	ASM1688938v1	Haemophilus parahaemolyticus	2093459	2049	1910	57
GCF_013267415.1	ASM1326741v1	Abiotrophia defectiva	2046826	1897	1818	16
GCF_032163395.1	ASM3216339v1	Gloeocapsopsis dulcis	5618434	5434	5191	191
GCF_029318685.1	ASM2931868v1	Ruminiclostridium papyrosolvens DSM 2782	5027861	4407	4278	39
GCF_002006355.2	ASM200635v2	Clostridium felsineum DSM 794	5242194	4859	4690	51
GCF_036812735.1	TEGL	Terrisporobacter glycolicus ATCC 14880 = DSM 1288	4060596	3954	3812	10
GCF_900637725.1	52551_C01	Arachnia propionica	3402349	3059	2960	42
GCF_024181585.1	ASM2418158v1	Treponema socranskii subsp. buccale	2805741	2513	2434	19
GCF_002951835.1	ASM295183v1	Simonsiella muelleri ATCC 29453	2469862	2520	2381	62
GCF_030316605.1	ASM3031660v1	Spiroplasma ixodetis Y32	2231425	2880	2786	58
GCF_003339775.1	ASM333977v1	Spiroplasma phoeniceum P40	1908276	2584	2434	101
GCF_900660615.1	51670_F01-3	Malacoplasma iowae	1278574	1034	993	6
GCF_015689475.1	ASM1568947v1	Streptomyces solisilvae	11639536	9472	9008	373
GCF_025264705.1	ASM2526470v1	Dactylosporangium aurantiacum	11523879	10317	10071	150
GCF_027626975.1	ASM2762697v1	Streptomyces nigrescens	9534571	8249	7938	220
GCF_017639205.1	ASM1763920v1	Streptomyces nojiriensis	9022916	8247	7962	183
GCF_010119975.1	ASM1011997v1	Rhodocytophaga rosea	8983451	7422	7278	85
GCF_033406955.1	ASM3340695v1	Streptomyces violaceoruber	8629698	7781	7526	168
GCF_021044685.1	ASM2104468v1	Bradyrhizobium daqingense	7998085	7604	7306	242
GCF_013046785.1	ASM1304678v1	Streptomyces argyrophyllae	7815457	6983	6739	154
GCF_016906185.1	ASM1690618v1	Streptomyces californicus	8031696	7047	6840	120
GCF_009299385.1	ASM929938v1	Streptomyces cinereoruber	7516652	6780	6545	144
GCF_004114975.1	ASM411497v1	Bradyrhizobium guangdongense	8437991	8026	7719	252
GCF_024296925.1	ASM2429692v1	Pseudomonas nunensis	7328926	6518	6319	108
GCF_003097515.1	ASM309751v1	Streptomyces tirandamycinicus	7289495	6244	5991	164
GCF_027942015.1	ASM2794201v1	Streptomyces goshikiensis	8161592	7269	6993	181
GCF_003122365.1	ASM312236v1	Streptomyces spongiicola	7180417	6004	5718	199
GCF_013170785.1	ASM1317078v1	Mesorhizobium jarvisii	7201057	7129	6900	167
GCF_003173715.1	ASM317371v1	Methylobacterium durans	6788375	6603	6036	494
GCF_022370755.2	ASM2237075v2	Mycolicibacterium goodii	6741306	6428	6298	73
GCF_004786035.1	ASM478603v1	Pseudomonas viciae	6704877	5897	5758	55
GCF_018398935.1	ASM1839893v1	Telmatocola sphagniphila	6592641	5253	5168	31
GCF_937425535.1	Rhodovastum_atsumiense_G2-11	Rhodovastum atsumiense	7423543	6736	6536	123
GCF_014268495.2	ASM1426849v2	Pseudomonas monsensis	6422728	5715	5542	78
GCF_010726085.1	ASM1072608v1	Mycolicibacterium moriokaense	6225779	6112	5930	127
GCF_003261575.2	ASM326157v2	Klebsiella huaxiensis	6300829	5944	5698	126
GCF_008807375.1	ASM880737v1	Pseudomonas lalkuanensis	6056953	5576	5426	58
GCF_014268455.2	ASM1426845v2	Pseudomonas shahriarae	6054205	5478	5327	64
GCF_900637195.1	50279_F01	Mycolicibacterium aurum	6035584	5745	5645	45
GCF_010729105.1	ASM1072910v1	Mycobacterium saskatchewanense	6008916	5711	5431	226
GCF_010728925.1	ASM1072892v1	Mycolicibacterium gadium	5964999	5910	5722	134
GCF_003143515.1	ASM314351v1	Massilia oculi	5844653	5336	5105	123
GCF_010977555.1	ASM1097755v1	Caulobacter rhizosphaerae	5963910	5457	5317	80
GCF_026651875.1	ASM2665187v1	Alicyclobacillus fastidiosus	6035649	5822	5455	183
GCF_003096175.1	ASM309617v1	Clostridium drakei	5695241	5171	5007	37
GCF_003722335.1	ASM372233v1	Caulobacter flavus	5659202	5241	5102	70
GCF_008329645.1	ASM832964v1	Mycolicibacterium grossiae	5681602	5465	5354	54
GCF_019797865.1	ASM1979786v1	Chenggangzhangella methanolivorans	5542510	5874	4949	861
GCF_004358345.1	ASM435834v1	Parashewanella spongiae	5468749	4388	4143	128
GCF_003574835.2	ASM357483v2	Thermobifida halotolerans	5506152	4872	4750	54
GCF_014218335.1	ASM1421833v1	Anaerocolumna cellulosilytica	5430627	4530	4419	29
GCF_017894385.1	ASM1789438v1	Aromatoleum petrolei	5407396	4929	4828	28
GCF_024734075.1	ASM2473407v1	Gordonia mangrovi	5388218	4887	4771	58
GCF_019645855.1	ASM1964585v1	Mycobacterium malmoense	5319859	4953	4768	133
GCF_018736045.1	ASM1873604v1	Flammeovirga yaeyamensis	7433553	5691	5557	17
GCF_033547095.1	ASM3354709v1	Sediminicoccus rosea	5138361	4949	4872	20
GCF_034479615.1	ASM3447961v1	Vreelandella neptunia	4952479	4581	4464	35
GCF_019047765.1	ASM1904776v1	Citrobacter pasteurii	5021319	4871	4644	110
GCF_023208015.1	ASM2320801v1	Thermobifida alba	4903256	4356	4246	44
GCF_014236795.1	ASM1423679v1	Xanthomonas theicola	4785596	4562	3892	609
GCF_016801025.1	ASM1680102v1	Paradevosia shaoguanensis	4629545	4511	4422	29
GCF_011068285.1	ASM1106828v1	Flagellimonas oceani	4610330	4204	4139	16
GCF_019670005.1	ASM1967000v1	Methylomagnum ishizawai	5199498	4687	4580	48
GCF_028532485.1	ASM2853248v1	Iamia majanohamensis	4576919	4339	4271	15
GCF_900637545.1	51438_G01	Aeromonas encheleia	4542521	4240	4025	51
GCF_003368325.1	ASM336832v1	Paraburkholderia caffeinilytica	8324638	7394	7204	103
GCF_017357225.1	ASM1735722v1	Rhizobium binae	7055288	6842	6491	287
GCF_009176645.1	ASM917664v1	Enterobacter oligotrophicus	4476585	4263	4089	54
GCF_021029445.1	ASM2102944v1	Pseudomonas wenzhouensis	4452100	4157	3988	88
GCF_024918935.1	ASM2491893v1	Polaribacter undariae	4418414	3654	3569	15
GCF_017894365.1	ASM1789436v1	Aromatoleum bremense	4376837	4133	4005	56
GCF_003970735.1	ASM397073v1	Silicimonas algicola	4351658	4384	4282	54
GCF_020991125.1	ASM2099112v1	Microbulbifer celer	4346001	3632	3546	17
GCF_002441855.2	ASM244185v2	Eubacterium maltosivorans	4337501	4115	4002	32
GCF_013488225.1	ASM1348822v1	Sinorhizobium mexicanum	7141863	6643	6407	169
GCF_009756665.1	ASM975666v1	Permianibacter aggregans	4266648	3840	3743	38
GCF_003815915.1	ASM381591v1	Chryseobacterium indoltheticum	4253895	3936	3821	23
GCF_026427595.1	ASM2642759v1	Alkalimarinus sediminis	4226946	3737	3653	12
GCF_009931115.1	ASM993111v1	Microbulbifer hydrolyticus	4209307	3565	3474	9
GCF_033723955.1	ASM3372395v1	Microbulbifer pacificus	4194096	3552	3447	11
GCF_011399095.1	ASM1139909v1	Halomonas hydrothermalis	4120823	3798	3644	72
GCF_032598785.1	ASM3259878v1	Terrisporobacter petrolearius	4124338	4078	3903	42
GCF_005952805.1	ASM595280v1	Inhella inkyongensis	4084412	3836	3746	17
GCF_902502825.2	E03_1.v3	Pseudorhizobium flavum	4749058	4624	4444	117
GCF_011046555.1	ASM1104655v1	Sphingobacterium lactis	4030188	3497	3422	4
GCF_038023995.1	ASM3802399v1	Polaribacter atrinae	4010129	3542	3435	32
GCF_022647325.1	ASM2264732v1	Pantoea deleyi	4682225	4365	4203	52
GCF_026409565.1	ASM2640956v1	Sneathiella aquimaris	3941851	3729	3658	14
GCF_026013645.1	ASM2601364v1	Virgibacillus natechei	3867590	3864	3699	80
GCF_019915265.1	ASM1991526v1	Bacillus aquiflavi	3806094	3803	3423	267
GCF_014784055.1	ASM1478405v1	Polaribacter haliotis	3800626	3268	3210	10
GCF_004135285.1	ASM413528v1	Microbacterium protaetiae	3790483	3562	3473	33
GCF_027925385.1	ASM2792538v1	Methylocystis iwaonis	4483149	4270	4112	94
GCF_003590145.2	ASM359014v2	Pseudooceanicola algae	4094723	3847	3747	40
GCF_003355475.1	ASM335547v1	Brachybacterium saurashtrense	3720646	3344	3256	26
GCF_008932245.1	ASM893224v1	Sinorhizobium alkalisoli	6128433	5799	5533	197
GCF_004135405.1	ASM413540v1	Agromyces protaetiae	3683091	3499	3312	128
GCF_028553785.1	ASM2855378v1	Paracoccus fistulariae	3723810	3690	3575	59
GCF_030406665.1	ASM3040666v1	Halomonas halophila	3563217	3359	3260	7
GCF_008630635.1	ASM863063v1	Neptunomonas concharum	3561992	3387	3291	8
GCF_022869165.1	ASM2286916v1	Sphaerochaeta associata	3554903	3310	3238	11
GCF_014681765.1	ASM1468176v1	Roseicitreum antarcticum	4253095	4124	3940	130
GCF_003966975.1	ASM396697v1	Pelolinea submarina	3519887	3132	3072	5
GCF_021173085.1	ASM2117308v1	Ralstonia wenshanensis	5310536	4923	4821	37
GCF_006337125.1	ASM633712v1	Serinicoccus chungangensis	3463442	3197	3096	46
GCF_028607105.1	ASM2860710v1	Novosphingobium humi	4890578	4438	4349	22
GCF_017161425.1	ASM1716142v1	Marinicauda algicola	3424851	3372	3310	14
GCF_018798885.1	ASM1879888v1	Gemmobacter fulvus	4677627	4521	4408	52
GCF_011046895.1	ASM1104689v1	Rhizobium rhizoryzae	4984090	4660	4532	50
GCF_010450875.1	ASM1045087v1	Sphingomonas insulae	3742477	3614	3481	68
GCF_004135935.1	ASM413593v1	Methylovirgula ligni	3298588	3238	3167	19
GCF_900638245.1	56772_F02	Kaistella jeonii	3288745	3041	2986	7
GCF_025758395.1	ASM2575839v1	Microbacterium terricola	3251607	3094	3035	7
GCF_009938225.1	ASM993822v1	Vibrio ponticus	4796932	4266	4101	34
GCF_010669145.1	ASM1066914v1	Rhizobium oryzihabitans	5858741	5744	5239	426
GCF_900637895.1	52700_G01	Kaistella antarctica	3137220	2877	2808	15
GCF_900637635.1	52313_A01	Legionella jordanis	3133723	2870	2788	22
GCF_004011095.1	ASM401109v1	Rathayibacter rathayi	3103889	3028	2925	48
GCF_010509575.1	ASM1050957v1	Faecalibacterium duncaniae	3102523	3008	2871	52
GCF_013201725.1	ASM1320172v1	Arcobacter defluvii	3021240	3029	2944	10
GCF_006459125.1	ASM645912v1	Halarcobacter anaerophilus	3016922	3006	2939	6
